method,cell,content,style,hit
ccstytr,000000009448__Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff,000000009448,Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff,0
ccstytr,000000009448__Romanticism__gustave-dore_paradise-lost-4,000000009448,Romanticism__gustave-dore_paradise-lost-4,0
ccstytr,000000009448__Symbolism__nicholas-roerich_language-of-forest-1922,000000009448,Symbolism__nicholas-roerich_language-of-forest-1922,0
ccstytr,000000009448__Ukiyo_e__kitagawa-utamaro_not_detected_233134,000000009448,Ukiyo_e__kitagawa-utamaro_not_detected_233134,0
ccstytr,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703,000000072795,Abstract_Expressionism__paul-jenkins_not_detected_235703,0
ccstytr,000000072795__Art_Nouveau_Modern__nicholas-roerich_oze-1914,000000072795,Art_Nouveau_Modern__nicholas-roerich_oze-1914,0
ccstytr,000000072795__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,000000072795,Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,0
ccstytr,000000072795__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,000000072795,Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,1
ccstytr,000000072795__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter,000000072795,Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter,0
ccstytr,000000072795__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473,000000072795,Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473,0
ccstytr,000000072795__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918,000000072795,Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918,0
ccstytr,000000072795__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505,000000072795,High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505,0
ccstytr,000000072795__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890,000000072795,Impressionism__pierre-auguste-renoir_leaving-the-bath-1890,0
ccstytr,000000072795__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566,000000072795,Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566,0
ccstytr,000000072795__Minimalism__mario-schifano_untitled-1963,000000072795,Minimalism__mario-schifano_untitled-1963,0
ccstytr,000000072795__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping,000000072795,Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping,0
ccstytr,000000072795__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507,000000072795,Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507,0
ccstytr,000000072795__Pop_Art__peter-max_composition-red-green-1979,000000072795,Pop_Art__peter-max_composition-red-green-1979,0
ccstytr,000000072795__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887,000000072795,Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887,0
ccstytr,000000072795__Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1),000000072795,Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1),0
ccstytr,000000072795__Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff,000000072795,Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff,0
ccstytr,000000072795__Romanticism__gustave-dore_paradise-lost-4,000000072795,Romanticism__gustave-dore_paradise-lost-4,0
ccstytr,000000072795__Symbolism__nicholas-roerich_language-of-forest-1922,000000072795,Symbolism__nicholas-roerich_language-of-forest-1922,0
ccstytr,000000072795__Ukiyo_e__kitagawa-utamaro_not_detected_233134,000000072795,Ukiyo_e__kitagawa-utamaro_not_detected_233134,0
ccstytr,000000078420__Abstract_Expressionism__paul-jenkins_not_detected_235703,000000078420,Abstract_Expressionism__paul-jenkins_not_detected_235703,0
ccstytr,000000078420__Art_Nouveau_Modern__nicholas-roerich_oze-1914,000000078420,Art_Nouveau_Modern__nicholas-roerich_oze-1914,0
ccstytr,000000078420__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,000000078420,Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,0
ccstytr,000000078420__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,000000078420,Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,0
ccstytr,000000078420__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter,000000078420,Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter,0
ccstytr,000000078420__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473,000000078420,Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473,0
ccstytr,000000078420__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918,000000078420,Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918,0
ccstytr,000000078420__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505,000000078420,High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505,0
ccstytr,000000078420__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890,000000078420,Impressionism__pierre-auguste-renoir_leaving-the-bath-1890,0
ccstytr,000000078420__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566,000000078420,Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566,0
ccstytr,000000078420__Minimalism__mario-schifano_untitled-1963,000000078420,Minimalism__mario-schifano_untitled-1963,1
ccstytr,000000078420__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping,000000078420,Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping,0
ccstytr,000000078420__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507,000000078420,Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507,0
ccstytr,000000078420__Pop_Art__peter-max_composition-red-green-1979,000000078420,Pop_Art__peter-max_composition-red-green-1979,1
ccstytr,000000078420__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887,000000078420,Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887,0
ccstytr,000000078420__Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1),000000078420,Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1),0
ccstytr,000000078420__Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff,000000078420,Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff,0
ccstytr,000000078420__Romanticism__gustave-dore_paradise-lost-4,000000078420,Romanticism__gustave-dore_paradise-lost-4,0
ccstytr,000000078420__Symbolism__nicholas-roerich_language-of-forest-1922,000000078420,Symbolism__nicholas-roerich_language-of-forest-1922,0
ccstytr,000000078420__Ukiyo_e__kitagawa-utamaro_not_detected_233134,000000078420,Ukiyo_e__kitagawa-utamaro_not_detected_233134,0
ccstytr,000000085682__Abstract_Expressionism__paul-jenkins_not_detected_235703,000000085682,Abstract_Expressionism__paul-jenkins_not_detected_235703,0
ccstytr,000000085682__Art_Nouveau_Modern__nicholas-roerich_oze-1914,000000085682,Art_Nouveau_Modern__nicholas-roerich_oze-1914,0
ccstytr,000000085682__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,000000085682,Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,0
ccstytr,000000085682__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,000000085682,Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,0
ccstytr,000000085682__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter,000000085682,Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter,0
ccstytr,000000085682__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473,000000085682,Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473,0
ccstytr,000000085682__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918,000000085682,Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918,0
ccstytr,000000085682__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505,000000085682,High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505,0
ccstytr,000000085682__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890,000000085682,Impressionism__pierre-auguste-renoir_leaving-the-bath-1890,1
ccstytr,000000085682__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566,000000085682,Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566,0
ccstytr,000000085682__Minimalism__mario-schifano_untitled-1963,000000085682,Minimalism__mario-schifano_untitled-1963,0
ccstytr,000000085682__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping,000000085682,Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping,0
ccstytr,000000085682__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507,000000085682,Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507,0
