method,n,ssim_mean,lpips_mean,e_ssim_mean,l_c_mean,l_s_mean
ccstytr,800,0.5703948210179806,0.4816685140691698,0.5640439795365447,1.5507887176796793,0.9799967698380351
stytr2,800,0.48783184971660376,0.5858902098983526,0.4289250903313436,2.242372432798147,1.4303431057184934
adain,800,0.2965385893266648,0.6552733482792974,0.2707486584188097,2.659471207559109,1.2773619677126407
sanet,800,0.32565907216630874,0.6482683476060629,0.2974888497759729,2.519479913711548,1.2951317938789726
cast,800,0.4412893434241414,0.6294787167385221,0.3896849395519816,2.4559786702692508,2.4069292440265415
