group,n,hits,rate,ci95_lo,ci95_hi
STYLES(ref),20,17,0.85,0.6395767041130426,0.9476322080405041
CONTENTS(ref),40,3,0.075,0.025835556771858243,0.19864530159097524
ccstytr,800,73,0.09125,0.07320065595961953,0.11320621823051942
stytr2,800,128,0.16,0.13622911626795167,0.1870206384100844
adain,800,194,0.2425,0.21407599065665286,0.2733852206068597
sanet,800,239,0.29875,0.26805536688937315,0.3313682011369644
cast,800,122,0.1525,0.12925247933696052,0.1790689611060322
