method,metric,n,mean,std,median,q1,q3,cell_level_ci95_low,cell_level_ci95_high,ci_scope
ccstytr,ssim,800,0.57039482101798056,0.12803251082841291,0.58217310905456543,0.48019202053546906,0.66431218385696411,0.56152262066930769,0.57926702136665342,descriptive cell-level CI
ccstytr,lpips,800,0.48166851406916977,0.13916990859775344,0.46268926560878754,0.38072797656059265,0.55639863014221191,0.47202453143072459,0.49131249670761495,descriptive cell-level CI
ccstytr,e_ssim,800,0.56404397953654473,0.14731331606282982,0.57666946091883275,0.46600734713127945,0.66904503794810688,0.5538356875513285,0.57425227152176095,descriptive cell-level CI
ccstytr,l_c,800,1.5507887176796793,0.41896653995367328,1.4846856594085693,1.2230629026889801,1.8430547118186948,1.5217558176935115,1.5798216176658471,descriptive cell-level CI
ccstytr,l_s,800,0.97999676983803508,0.34465545097995204,0.92161101102828979,0.7235063761472702,1.1492014825344086,0.95611336559507354,1.0038801740809966,descriptive cell-level CI
stytr2,ssim,800,0.48783184971660376,0.12597002715603642,0.49576342105865479,0.40183991193771362,0.58248384296894073,0.47910257219463165,0.49656112723857587,descriptive cell-level CI
stytr2,lpips,800,0.58589020989835261,0.1299450925361702,0.55934903025627136,0.50366717576980591,0.63664470613002777,0.57688547439915716,0.59489494539754806,descriptive cell-level CI
stytr2,e_ssim,800,0.42892509033134346,0.14201586450668269,0.43639386820125847,0.33003572423501476,0.5280951052758136,0.41908389301012644,0.43876628765256048,descriptive cell-level CI
stytr2,l_c,800,2.2423724327981471,0.36564530005673451,2.2038323879241943,1.9859256744384763,2.4521720409393311,2.2170345062225945,2.2677103593736998,descriptive cell-level CI
stytr2,l_s,800,1.4303431057184934,0.62637635929523183,1.2253015041351318,0.91808745265007019,1.8983500301837921,1.3869374385376987,1.4737487728992882,descriptive cell-level CI
adain,ssim,800,0.29653858932666483,0.10619508722703189,0.29033249616622925,0.20225724205374718,0.37106979638338089,0.28917964522858558,0.30389753342474407,descriptive cell-level CI
adain,lpips,800,0.6552733482792974,0.11640910802803502,0.63374817371368408,0.57819768786430359,0.69480037689208984,0.64720660865080426,0.66334008790779053,descriptive cell-level CI
adain,e_ssim,800,0.27074865841880968,0.11403778515490944,0.26277234732117566,0.19255942412697241,0.3296414225128137,0.26284624308174565,0.27865107375587372,descriptive cell-level CI
adain,l_c,800,2.6594712075591089,0.34415012600021572,2.6135411262512207,2.4226163029670715,2.8315920829772949,2.6356228205506951,2.6833195945675228,descriptive cell-level CI
adain,l_s,800,1.2773619677126407,0.64790756477044864,1.1745948791503906,0.70676542818546295,1.6938979625701904,1.2324642641147785,1.3222596713105028,descriptive cell-level CI
sanet,ssim,800,0.32565907216630874,0.099158013392701264,0.3203587532043457,0.24863613396883011,0.38876804709434504,0.31878777240577011,0.33253037192684737,descriptive cell-level CI
sanet,lpips,800,0.64826834760606289,0.10525643898322355,0.62877392768859863,0.57671254873275757,0.69170387089252472,0.64097444851274155,0.65556224669938423,descriptive cell-level CI
sanet,e_ssim,800,0.2974888497759729,0.1168595893725239,0.28595295633770401,0.21668721617280923,0.35796902493118621,0.28939089338295815,0.30558680616898765,descriptive cell-level CI
sanet,l_c,800,2.5194799137115478,0.27571663973275423,2.4926493167877197,2.3280889987945557,2.6939340829849243,2.5003737253587297,2.5385861020643659,descriptive cell-level CI
sanet,l_s,800,1.2951317938789726,0.45002633160800637,1.2190806865692139,0.95076031982898723,1.6109370291233063,1.2639465601413049,1.3263170276166403,descriptive cell-level CI
cast,ssim,800,0.44128934342414139,0.12354186641276133,0.44712218642234802,0.35961556434631348,0.53491458296775818,0.43272832885705259,0.44985035799123019,descriptive cell-level CI
cast,lpips,800,0.62947871673852207,0.15340688544859396,0.59187763929367065,0.52060370147228241,0.69371345639228821,0.61884816193834402,0.64010927153870012,descriptive cell-level CI
cast,e_ssim,800,0.38968493955198147,0.1398553362932278,0.39820017743168556,0.29769881430748629,0.48547502575274681,0.37999345919753097,0.39937641990643197,descriptive cell-level CI
cast,l_c,800,2.4559786702692508,0.3517667005634133,2.4115509986877441,2.1875399351119995,2.7015775442123413,2.431602481571578,2.4803548589669235,descriptive cell-level CI
cast,l_s,800,2.4069292440265415,1.6305394448275969,1.9306119680404663,1.2862730026245117,2.8263862133026123,2.2939386251804268,2.5199198628726562,descriptive cell-level CI
