method,metric,n,mean
ccstytr,ssim,800,0.5703948210179806
aesfa,ssim,800,0.40404010395519435
ccstytr,lpips,800,0.4816685140691698
aesfa,lpips,800,0.6636930327862501
ccstytr,e_ssim,800,0.5640439795365447
aesfa,e_ssim,800,0.3884550957936574
ccstytr,l_c,800,1.5507887176796793
aesfa,l_c,800,2.6205160872638227
ccstytr,l_s,800,0.9799967698380351
aesfa,l_s,800,1.3644510469585658
