baseline,metric,n,mean_paired_difference,median_paired_difference,w_statistic,raw_p,bonferroni_adjusted_p,rank_biserial_r,crossed_bootstrap_ci95_low,crossed_bootstrap_ci95_high,bootstrap_seed,n_bootstrap,difference_direction
aesfa,ssim,800,0.16635471706278623,0.16012626886367798,0.0,1.3876646900177629e-132,6.938323450088815e-132,1.0,0.14746899901470167,0.18576518849353307,20260902,10000,positive = CC-StyTr better
aesfa,lpips,800,0.18202451871708036,0.18069270253181458,0.0,1.3876646900177629e-132,6.938323450088815e-132,1.0,0.16202125743916257,0.20198234016681088,20260902,10000,positive = CC-StyTr better
aesfa,e_ssim,800,0.17558888374288742,0.1738298502139474,64.0,1.764421189133032e-132,8.822105945665159e-132,0.9996004993757803,0.15450538343947331,0.19635286033264318,20260902,10000,positive = CC-StyTr better
aesfa,l_c,800,1.0697273695841432,1.1029234528541565,0.0,1.3876646900177629e-132,6.938323450088815e-132,1.0,0.9596534534310922,1.17275714018289,20260902,10000,positive = CC-StyTr better
aesfa,l_s,800,0.3844542771205306,0.2856382727622986,11416.0,1.2381620991969206e-114,6.190810495984603e-114,0.9287390761548064,0.24236038248520345,0.5445777041772379,20260902,10000,positive = CC-StyTr better
