method,n,fid_finite,lpips_content,artfid_finite,csd_similarity_mean,csd_ci95_low,csd_ci95_high
ccstytr,5000,6.497736381084081,0.47174492478370667,11.034755466226652,0.3011617579927668,0.2976156188369729,0.30471204490563597
aesfa,5000,9.122927984053725,0.5969693660736084,16.16600588550307,0.3094917083373293,0.3061452690180484,0.3129375357217621
stytr2,5000,5.677083318047423,0.5192493796348572,10.144154688713801,0.2930412811757997,0.28947544576929884,0.2965087828244688
adain,5000,6.769444324976234,0.5952713489532471,12.394371928921988,0.3440982412973419,0.3403636933541857,0.3478286937314691
sanet,5000,7.01763331144581,0.6050910949707031,12.86903183094214,0.4313272770196199,0.42778763874413445,0.43493231558421624
cast,5000,4.218837466492602,0.5163151621818542,7.913402379405467,0.42693815707936883,0.42364151353489604,0.4302982786583714
