method,content,style,ocr_sim,n_gt
adain,84,western_painting__met_788182,0.0,4
sanet,84,western_painting__met_788182,0.0,4
cast,84,western_painting__met_788182,0.1111,4
stytr2,129,chinese_landscape__130942,0.2857,6
adain,129,chinese_landscape__130942,0.1429,6
sanet,129,chinese_landscape__130942,0.1458,6
cast,129,chinese_landscape__130942,0.1458,6
stytr2,129,chinese_landscape__132834,0.1667,6
adain,129,chinese_landscape__132834,0.1667,6
sanet,129,chinese_landscape__132834,0.1429,6
cast,129,chinese_landscape__132834,0.2143,6
stytr2,129,chinese_landscape__132836,0.2619,6
adain,129,chinese_landscape__132836,0.1429,6
sanet,129,chinese_landscape__132836,0.1458,6
cast,129,chinese_landscape__132836,0.1667,6
stytr2,129,chinese_landscape__132840,0.2857,6
adain,129,chinese_landscape__132840,0.0952,6
sanet,129,chinese_landscape__132840,0.1429,6
cast,129,chinese_landscape__132840,0.2411,6
stytr2,129,chinese_landscape__132930,0.2381,6
adain,129,chinese_landscape__132930,0.119,6
sanet,129,chinese_landscape__132930,0.1429,6
cast,129,chinese_landscape__132930,0.1429,6
stytr2,129,chinese_landscape__137205,0.1429,6
adain,129,chinese_landscape__137205,0.1667,6
sanet,129,chinese_landscape__137205,0.1458,6
cast,129,chinese_landscape__137205,0.2381,6
stytr2,129,chinese_landscape__142574,0.2619,6
adain,129,chinese_landscape__142574,0.0,6
sanet,129,chinese_landscape__142574,0.119,6
cast,129,chinese_landscape__142574,0.1429,6
stytr2,129,chinese_landscape__142578,0.2143,6
adain,129,chinese_landscape__142578,0.119,6
sanet,129,chinese_landscape__142578,0.1429,6
cast,129,chinese_landscape__142578,0.119,6
stytr2,129,chinese_landscape__144829,0.2381,6
adain,129,chinese_landscape__144829,0.119,6
sanet,129,chinese_landscape__144829,0.119,6
cast,129,chinese_landscape__144829,0.2143,6
stytr2,129,chinese_landscape__148342,0.2143,6
adain,129,chinese_landscape__148342,0.0,6
sanet,129,chinese_landscape__148342,0.1667,6
cast,129,chinese_landscape__148342,0.119,6
stytr2,129,mural__img_1082crop_1_0,0.1429,6
adain,129,mural__img_1082crop_1_0,0.1429,6
sanet,129,mural__img_1082crop_1_0,0.1458,6
cast,129,mural__img_1082crop_1_0,0.2381,6
stytr2,129,mural__img_1224crop_0_0,0.2143,6
adain,129,mural__img_1224crop_0_0,0.0,6
sanet,129,mural__img_1224crop_0_0,0.1667,6
cast,129,mural__img_1224crop_0_0,0.1905,6
stytr2,129,mural__img_1224crop_1_1,0.1667,6
adain,129,mural__img_1224crop_1_1,0.0,6
sanet,129,mural__img_1224crop_1_1,0.1429,6
cast,129,mural__img_1224crop_1_1,0.2857,6
stytr2,129,mural__img_16crop_0_0,0.1458,6
adain,129,mural__img_16crop_0_0,0.0,6
sanet,129,mural__img_16crop_0_0,0.1458,6
cast,129,mural__img_16crop_0_0,0.1667,6
stytr2,129,mural__img_276crop_1_0,0.1667,6
adain,129,mural__img_276crop_1_0,0.0,6
sanet,129,mural__img_276crop_1_0,0.1429,6
cast,129,mural__img_276crop_1_0,0.0952,6
stytr2,129,mural__img_326crop_1_1,0.1667,6
adain,129,mural__img_326crop_1_1,0.0,6
sanet,129,mural__img_326crop_1_1,0.1667,6
cast,129,mural__img_326crop_1_1,0.1429,6
stytr2,129,mural__img_327crop_0_1,0.1667,6
adain,129,mural__img_327crop_0_1,0.0952,6
sanet,129,mural__img_327crop_0_1,0.1458,6
cast,129,mural__img_327crop_0_1,0.2381,6
stytr2,129,mural__img_536crop_1_0,0.1458,6
adain,129,mural__img_536crop_1_0,0.1429,6
sanet,129,mural__img_536crop_1_0,0.1667,6
cast,129,mural__img_536crop_1_0,0.2381,6
stytr2,129,mural__img_593crop_0_0,0.1429,6
adain,129,mural__img_593crop_0_0,0.0,6
sanet,129,mural__img_593crop_0_0,0.1667,6
cast,129,mural__img_593crop_0_0,0.2173,6
stytr2,129,mural__img_739crop_1_1,0.1429,6
adain,129,mural__img_739crop_1_1,0.0,6
sanet,129,mural__img_739crop_1_1,0.1429,6
cast,129,mural__img_739crop_1_1,0.119,6
stytr2,129,western_painting__met_359775,0.1429,6
adain,129,western_painting__met_359775,0.0,6
sanet,129,western_painting__met_359775,0.0952,6
cast,129,western_painting__met_359775,0.2381,6
stytr2,129,western_painting__met_383787,0.0952,6
adain,129,western_painting__met_383787,0.0714,6
sanet,129,western_painting__met_383787,0.119,6
cast,129,western_painting__met_383787,0.1458,6
stytr2,129,western_painting__met_406721,0.1667,6
adain,129,western_painting__met_406721,0.0,6
sanet,129,western_painting__met_406721,0.119,6
cast,129,western_painting__met_406721,0.2619,6
stytr2,129,western_painting__met_437769,0.0952,6
adain,129,western_painting__met_437769,0.0,6
sanet,129,western_painting__met_437769,0.1429,6
cast,129,western_painting__met_437769,0.119,6
stytr2,129,western_painting__met_437967,0.1667,6
adain,129,western_painting__met_437967,0.0,6
sanet,129,western_painting__met_437967,0.119,6
cast,129,western_painting__met_437967,0.1429,6
stytr2,129,western_painting__met_439405,0.119,6
adain,129,western_painting__met_439405,0.0,6
sanet,129,western_painting__met_439405,0.119,6
cast,129,western_painting__met_439405,0.1667,6
stytr2,129,western_painting__met_649693,0.0,6
adain,129,western_painting__met_649693,0.0,6
sanet,129,western_painting__met_649693,0.1667,6
cast,129,western_painting__met_649693,0.2173,6
stytr2,129,western_painting__met_739494,0.0714,6
adain,129,western_painting__met_739494,0.0,6
sanet,129,western_painting__met_739494,0.1458,6
cast,129,western_painting__met_739494,0.2143,6
stytr2,129,western_painting__met_787672,0.1429,6
adain,129,western_painting__met_787672,0.1667,6
sanet,129,western_painting__met_787672,0.1667,6
cast,129,western_painting__met_787672,0.2381,6
stytr2,129,western_painting__met_788182,0.119,6
adain,129,western_painting__met_788182,0.0,6
sanet,129,western_painting__met_788182,0.1429,6
cast,129,western_painting__met_788182,0.2143,6
stytr2,163,chinese_landscape__130942,0.4001,10
adain,163,chinese_landscape__130942,0.1,10
sanet,163,chinese_landscape__130942,0.2,10
cast,163,chinese_landscape__130942,0.2417,10
stytr2,163,chinese_landscape__132834,0.4043,10
adain,163,chinese_landscape__132834,0.0,10
sanet,163,chinese_landscape__132834,0.2524,10
cast,163,chinese_landscape__132834,0.1143,10
stytr2,163,chinese_landscape__132836,0.4593,10
adain,163,chinese_landscape__132836,0.0,10
sanet,163,chinese_landscape__132836,0.2771,10
cast,163,chinese_landscape__132836,0.181,10
stytr2,163,chinese_landscape__132840,0.4743,10
adain,163,chinese_landscape__132840,0.0,10
sanet,163,chinese_landscape__132840,0.3024,10
cast,163,chinese_landscape__132840,0.2024,10
stytr2,163,chinese_landscape__132930,0.5343,10
adain,163,chinese_landscape__132930,0.0,10
sanet,163,chinese_landscape__132930,0.1821,10
cast,163,chinese_landscape__132930,0.1,10
stytr2,163,chinese_landscape__137205,0.2174,10
adain,163,chinese_landscape__137205,0.0,10
sanet,163,chinese_landscape__137205,0.0821,10
cast,163,chinese_landscape__137205,0.1143,10
stytr2,163,chinese_landscape__142574,0.5204,10
adain,163,chinese_landscape__142574,0.0,10
sanet,163,chinese_landscape__142574,0.3024,10
cast,163,chinese_landscape__142574,0.1143,10
stytr2,163,chinese_landscape__142578,0.4043,10
adain,163,chinese_landscape__142578,0.0563,10
sanet,163,chinese_landscape__142578,0.1143,10
cast,163,chinese_landscape__142578,0.1,10
stytr2,163,chinese_landscape__144829,0.5693,10
adain,163,chinese_landscape__144829,0.0,10
sanet,163,chinese_landscape__144829,0.0791,10
cast,163,chinese_landscape__144829,0.1143,10
stytr2,163,chinese_landscape__148342,0.3893,10
adain,163,chinese_landscape__148342,0.0,10
sanet,163,chinese_landscape__148342,0.1,10
cast,163,chinese_landscape__148342,0.3293,10
stytr2,163,mural__img_1082crop_1_0,0.181,10
adain,163,mural__img_1082crop_1_0,0.0,10
sanet,163,mural__img_1082crop_1_0,0.0905,10
cast,163,mural__img_1082crop_1_0,0.209,10
stytr2,163,mural__img_1224crop_0_0,0.1024,10
adain,163,mural__img_1224crop_0_0,0.0,10
sanet,163,mural__img_1224crop_0_0,0.2631,10
cast,163,mural__img_1224crop_0_0,0.3524,10
stytr2,163,mural__img_1224crop_1_1,0.2424,10
adain,163,mural__img_1224crop_1_1,0.1,10
sanet,163,mural__img_1224crop_1_1,0.15,10
cast,163,mural__img_1224crop_1_1,0.3624,10
stytr2,163,mural__img_16crop_0_0,0.1643,10
adain,163,mural__img_16crop_0_0,0.0,10
sanet,163,mural__img_16crop_0_0,0.1827,10
cast,163,mural__img_16crop_0_0,0.3024,10
stytr2,163,mural__img_276crop_1_0,0.0914,10
adain,163,mural__img_276crop_1_0,0.0,10
sanet,163,mural__img_276crop_1_0,0.0,10
cast,163,mural__img_276crop_1_0,0.1143,10
stytr2,163,mural__img_326crop_1_1,0.1974,10
adain,163,mural__img_326crop_1_1,0.0,10
sanet,163,mural__img_326crop_1_1,0.0,10
cast,163,mural__img_326crop_1_1,0.3024,10
stytr2,163,mural__img_327crop_0_1,0.229,10
adain,163,mural__img_327crop_0_1,0.0,10
sanet,163,mural__img_327crop_0_1,0.2,10
cast,163,mural__img_327crop_0_1,0.2024,10
stytr2,163,mural__img_536crop_1_0,0.3543,10
adain,163,mural__img_536crop_1_0,0.0,10
sanet,163,mural__img_536crop_1_0,0.3024,10
cast,163,mural__img_536crop_1_0,0.375,10
stytr2,163,mural__img_593crop_0_0,0.1743,10
adain,163,mural__img_593crop_0_0,0.0,10
sanet,163,mural__img_593crop_0_0,0.175,10
cast,163,mural__img_593crop_0_0,0.3893,10
stytr2,163,mural__img_739crop_1_1,0.1543,10
adain,163,mural__img_739crop_1_1,0.0,10
sanet,163,mural__img_739crop_1_1,0.0,10
cast,163,mural__img_739crop_1_1,0.0914,10
stytr2,163,western_painting__met_359775,0.1893,10
adain,163,western_painting__met_359775,0.0,10
sanet,163,western_painting__met_359775,0.125,10
cast,163,western_painting__met_359775,0.315,10
stytr2,163,western_painting__met_383787,0.4293,10
adain,163,western_painting__met_383787,0.0,10
sanet,163,western_painting__met_383787,0.0857,10
cast,163,western_painting__met_383787,0.2893,10
stytr2,163,western_painting__met_406721,0.1143,10
adain,163,western_painting__met_406721,0.0,10
sanet,163,western_painting__met_406721,0.175,10
cast,163,western_painting__met_406721,0.1643,10
stytr2,163,western_painting__met_437769,0.2893,10
adain,163,western_painting__met_437769,0.075,10
sanet,163,western_painting__met_437769,0.075,10
cast,163,western_painting__met_437769,0.1,10
stytr2,163,western_painting__met_437967,0.3143,10
adain,163,western_painting__met_437967,0.0,10
sanet,163,western_painting__met_437967,0.0,10
cast,163,western_painting__met_437967,0.1607,10
stytr2,163,western_painting__met_439405,0.0571,10
adain,163,western_painting__met_439405,0.0,10
sanet,163,western_painting__met_439405,0.0,10
cast,163,western_painting__met_439405,0.0571,10
stytr2,163,western_painting__met_649693,0.175,10
adain,163,western_painting__met_649693,0.0,10
sanet,163,western_painting__met_649693,0.175,10
cast,163,western_painting__met_649693,0.1,10
stytr2,163,western_painting__met_739494,0.1893,10
adain,163,western_painting__met_739494,0.0,10
