method,output,ssim,lpips,e_ssim,l_c,l_s
adain,1269__chinese_landscape__148342.jpg,0.1795,0.7602,0.1232,2.6996,0.7462
adain,1269__mural__img_1082crop_1_0.jpg,0.1378,0.8088,0.0886,2.8258,4.1798
adain,1269__mural__img_1224crop_0_0.jpg,0.0881,0.7845,0.0483,2.9371,6.4388
adain,1269__mural__img_1224crop_1_1.jpg,0.0657,0.8063,0.0378,2.9817,7.8579
adain,1269__mural__img_16crop_0_0.jpg,0.1968,0.7531,0.0905,2.964,1.7075
adain,1269__mural__img_276crop_1_0.jpg,0.0645,0.9579,0.0334,3.0208,1.9597
adain,1269__mural__img_326crop_1_1.jpg,0.1607,0.7573,0.1029,2.9381,1.1537
adain,1269__mural__img_327crop_0_1.jpg,0.1685,0.7611,0.1217,2.826,2.757
adain,1269__mural__img_536crop_1_0.jpg,0.1703,0.7362,0.1077,2.7709,2.5797
adain,1269__mural__img_593crop_0_0.jpg,0.164,0.6916,0.0874,2.8329,1.4987
adain,1269__mural__img_739crop_1_1.jpg,0.2963,0.6859,0.2013,2.6217,1.8457
adain,1269__western_painting__met_359775.jpg,0.1883,0.6806,0.205,2.6077,1.4308
adain,1269__western_painting__met_383787.jpg,0.215,0.6901,0.4269,2.6547,1.0403
adain,1269__western_painting__met_406721.jpg,0.1384,0.794,0.1225,2.6064,1.1566
adain,1269__western_painting__met_437769.jpg,0.5013,0.5312,0.4982,2.2847,1.3513
adain,1269__western_painting__met_437967.jpg,0.3849,0.7211,0.2959,2.424,1.6117
adain,1269__western_painting__met_439405.jpg,0.3915,0.7441,0.5102,2.2976,1.423
adain,1269__western_painting__met_649693.jpg,0.173,0.7692,0.3162,2.7517,1.6458
adain,1269__western_painting__met_739494.jpg,0.1903,0.7247,0.2738,2.6943,1.8567
adain,1269__western_painting__met_787672.jpg,0.1305,0.7791,0.1414,2.6689,1.9532
adain,1269__western_painting__met_788182.jpg,0.1859,0.7358,0.2281,2.5995,1.2851
adain,129__chinese_landscape__130942.jpg,0.4783,0.6411,0.2913,2.8119,0.8242
adain,129__chinese_landscape__132834.jpg,0.5436,0.5937,0.375,2.7437,1.2216
adain,129__chinese_landscape__132836.jpg,0.5321,0.5983,0.3708,2.8083,1.2996
adain,129__chinese_landscape__132840.jpg,0.632,0.5716,0.5288,2.7252,1.2119
adain,129__chinese_landscape__132930.jpg,0.6245,0.596,0.4794,2.8433,0.7572
adain,129__chinese_landscape__137205.jpg,0.3789,0.678,0.1976,2.929,1.7001
adain,129__chinese_landscape__142574.jpg,0.6026,0.6214,0.4302,2.8109,0.889
adain,129__chinese_landscape__142578.jpg,0.4624,0.6506,0.2466,2.9507,1.0993
adain,129__chinese_landscape__144829.jpg,0.4886,0.6466,0.2752,2.868,1.1093
adain,129__chinese_landscape__148342.jpg,0.4197,0.6596,0.2088,2.8787,0.8959
adain,129__mural__img_1082crop_1_0.jpg,0.1696,0.6983,0.0684,2.9135,4.0874
adain,129__mural__img_1224crop_0_0.jpg,0.0759,0.7671,0.0305,3.1066,6.2276
adain,129__mural__img_1224crop_1_1.jpg,0.0792,0.756,0.0266,3.0229,7.524
adain,129__mural__img_16crop_0_0.jpg,0.237,0.7147,0.1001,3.1919,1.8184
adain,129__mural__img_276crop_1_0.jpg,0.1132,0.7488,0.0419,3.0109,1.6812
adain,129__mural__img_326crop_1_1.jpg,0.2666,0.7141,0.1127,2.9065,1.2214
adain,129__mural__img_327crop_0_1.jpg,0.277,0.672,0.1432,2.8129,2.9029
adain,129__mural__img_536crop_1_0.jpg,0.2557,0.6633,0.1141,2.6826,2.4266
adain,129__mural__img_593crop_0_0.jpg,0.2027,0.7187,0.0931,2.8924,1.6236
adain,129__mural__img_739crop_1_1.jpg,0.1659,0.6918,0.1822,2.9139,2.1276
adain,129__western_painting__met_359775.jpg,0.4131,0.6893,0.2606,2.9176,1.8334
adain,129__western_painting__met_383787.jpg,0.5943,0.6039,0.4888,2.8191,1.2917
adain,129__western_painting__met_406721.jpg,0.3676,0.6194,0.1628,2.5205,1.1693
adain,129__western_painting__met_437769.jpg,0.2141,0.7392,0.4368,2.899,1.6193
adain,129__western_painting__met_437967.jpg,0.2914,0.694,0.2734,2.8891,1.6386
adain,129__western_painting__met_439405.jpg,0.3691,0.6103,0.3915,2.7139,1.6809
adain,129__western_painting__met_649693.jpg,0.3805,0.6249,0.2547,2.9278,2.3154
adain,129__western_painting__met_739494.jpg,0.4467,0.6409,0.2944,2.9931,2.494
adain,129__western_painting__met_787672.jpg,0.3327,0.6351,0.1651,2.8432,2.1728
adain,129__western_painting__met_788182.jpg,0.4615,0.6348,0.2674,2.8283,1.4958
adain,1337__chinese_landscape__130942.jpg,0.4361,0.5191,0.3873,2.4818,0.7151
adain,1337__chinese_landscape__132834.jpg,0.4529,0.4923,0.4393,2.2211,1.0631
adain,1337__chinese_landscape__132836.jpg,0.452,0.5042,0.4323,2.3113,1.1418
adain,1337__chinese_landscape__132840.jpg,0.4715,0.5102,0.4546,2.4952,1.0636
adain,1337__chinese_landscape__132930.jpg,0.4967,0.5419,0.4627,2.6091,0.6031
adain,1337__chinese_landscape__137205.jpg,0.3597,0.5444,0.2961,2.3912,1.6257
adain,1337__chinese_landscape__142574.jpg,0.4927,0.5445,0.4563,2.5268,0.7409
adain,1337__chinese_landscape__142578.jpg,0.4401,0.5135,0.3642,2.3746,0.9674
adain,1337__chinese_landscape__144829.jpg,0.4393,0.5089,0.4027,2.3085,1.0144
adain,1337__chinese_landscape__148342.jpg,0.4054,0.509,0.3138,2.4001,0.7595
adain,1337__mural__img_1082crop_1_0.jpg,0.2443,0.5566,0.1759,2.2424,3.1008
adain,1337__mural__img_1224crop_0_0.jpg,0.1316,0.628,0.0896,2.5921,5.1721
adain,1337__mural__img_1224crop_1_1.jpg,0.1341,0.6173,0.0761,2.5139,6.3865
adain,1337__mural__img_16crop_0_0.jpg,0.2654,0.6524,0.184,2.9365,1.9179
adain,1337__mural__img_276crop_1_0.jpg,0.1457,0.7328,0.0888,2.9778,1.5525
adain,1337__mural__img_326crop_1_1.jpg,0.2886,0.6024,0.2012,2.6563,0.988
adain,1337__mural__img_327crop_0_1.jpg,0.3147,0.5372,0.2374,2.2224,1.9655
adain,1337__mural__img_536crop_1_0.jpg,0.2913,0.569,0.2173,2.3937,1.8073
