method,output,ssim,lpips,e_ssim,l_c,l_s
adain,5299__chinese_landscape__132930.jpg,0.4672,0.6386,0.4047,2.71,0.7241
adain,5299__chinese_landscape__137205.jpg,0.3504,0.6485,0.2451,2.6779,1.7638
adain,5299__chinese_landscape__142574.jpg,0.4652,0.6475,0.3921,2.6799,0.8836
adain,5299__chinese_landscape__142578.jpg,0.4048,0.6335,0.2884,2.5964,1.2269
adain,5299__chinese_landscape__144829.jpg,0.4017,0.6244,0.3141,2.5435,1.1212
adain,5299__chinese_landscape__148342.jpg,0.3753,0.6199,0.252,2.5769,1.1139
adain,5299__mural__img_1082crop_1_0.jpg,0.2024,0.6634,0.1247,2.4953,2.4752
adain,5299__mural__img_1224crop_0_0.jpg,0.1157,0.6976,0.0751,2.7925,4.5042
adain,5299__mural__img_1224crop_1_1.jpg,0.1198,0.6872,0.0695,2.716,5.3495
adain,5299__mural__img_16crop_0_0.jpg,0.1758,0.7701,0.1153,3.2276,2.2428
adain,5299__mural__img_276crop_1_0.jpg,0.1298,0.8241,0.0813,3.1041,1.7432
adain,5299__mural__img_326crop_1_1.jpg,0.2184,0.7241,0.1333,2.9859,1.173
adain,5299__mural__img_327crop_0_1.jpg,0.2465,0.6655,0.1641,2.5722,1.8016
adain,5299__mural__img_536crop_1_0.jpg,0.2514,0.6479,0.1632,2.5125,1.5305
adain,5299__mural__img_593crop_0_0.jpg,0.1822,0.6481,0.1143,2.7109,1.487
adain,5299__mural__img_739crop_1_1.jpg,0.1818,0.6637,0.1477,2.7451,1.7043
adain,5299__western_painting__met_359775.jpg,0.3865,0.5936,0.3118,2.5087,1.6994
adain,5299__western_painting__met_383787.jpg,0.4338,0.6015,0.4009,2.6824,1.1569
adain,5299__western_painting__met_406721.jpg,0.306,0.6697,0.1933,2.612,1.2715
adain,5299__western_painting__met_437769.jpg,0.1807,0.6303,0.2579,2.7952,1.6698
adain,5299__western_painting__met_437967.jpg,0.2451,0.6593,0.1894,2.7235,1.4893
adain,5299__western_painting__met_439405.jpg,0.2694,0.6663,0.2432,2.7316,2.1046
adain,5299__western_painting__met_649693.jpg,0.3509,0.5982,0.2939,2.6139,2.3618
adain,5299__western_painting__met_739494.jpg,0.3743,0.6147,0.3054,2.7318,2.3485
adain,5299__western_painting__met_787672.jpg,0.3309,0.5986,0.2401,2.4656,1.8103
adain,5299__western_painting__met_788182.jpg,0.3679,0.618,0.2753,2.66,1.4518
adain,5310__chinese_landscape__130942.jpg,0.4478,0.6631,0.2994,2.6065,0.7207
adain,5310__chinese_landscape__132834.jpg,0.4136,0.7428,0.2908,2.6766,1.1077
adain,5310__chinese_landscape__132836.jpg,0.41,0.7397,0.2808,2.6503,1.1953
adain,5310__chinese_landscape__132840.jpg,0.4821,0.6585,0.4423,2.5068,1.1651
adain,5310__chinese_landscape__132930.jpg,0.4904,0.7127,0.3721,2.6543,0.6146
adain,5310__chinese_landscape__137205.jpg,0.2951,0.7395,0.1457,2.7211,1.6025
adain,5310__chinese_landscape__142574.jpg,0.4979,0.7179,0.3477,2.7031,0.7413
adain,5310__chinese_landscape__142578.jpg,0.3828,0.7387,0.185,2.6977,0.9901
adain,5310__chinese_landscape__144829.jpg,0.4305,0.7042,0.2347,2.5466,1.1165
adain,5310__chinese_landscape__148342.jpg,0.3553,0.7383,0.1567,2.6127,0.8175
adain,5310__mural__img_1082crop_1_0.jpg,0.2207,0.74,0.0963,2.7681,3.5395
adain,5310__mural__img_1224crop_0_0.jpg,0.1263,0.7611,0.068,2.9422,5.6596
adain,5310__mural__img_1224crop_1_1.jpg,0.1126,0.7795,0.0578,3.0015,6.8536
adain,5310__mural__img_16crop_0_0.jpg,0.3089,0.7713,0.0949,3.1266,1.8167
adain,5310__mural__img_276crop_1_0.jpg,0.1364,0.9619,0.0517,3.2524,1.9834
adain,5310__mural__img_326crop_1_1.jpg,0.3057,0.728,0.0978,3.0439,1.2046
adain,5310__mural__img_327crop_0_1.jpg,0.3097,0.7079,0.1363,2.8202,2.3721
adain,5310__mural__img_536crop_1_0.jpg,0.3117,0.7004,0.1283,2.8874,2.2255
adain,5310__mural__img_593crop_0_0.jpg,0.2542,0.7029,0.0958,2.9295,1.5416
adain,5310__mural__img_739crop_1_1.jpg,0.2621,0.6789,0.1734,2.7831,1.8023
adain,5310__western_painting__met_359775.jpg,0.3858,0.6311,0.2094,2.3569,1.3877
adain,5310__western_painting__met_383787.jpg,0.4806,0.5764,0.4381,2.2557,1.0865
adain,5310__western_painting__met_406721.jpg,0.3155,0.7401,0.1385,2.7373,0.9578
adain,5310__western_painting__met_437769.jpg,0.3892,0.5869,0.3172,2.5097,1.4132
adain,5310__western_painting__met_437967.jpg,0.4221,0.7096,0.2032,2.576,1.4108
adain,5310__western_painting__met_439405.jpg,0.4627,0.7647,0.3185,2.7187,1.6532
adain,5310__western_painting__met_649693.jpg,0.3778,0.6647,0.2898,2.3289,1.8235
adain,5310__western_painting__met_739494.jpg,0.4234,0.6186,0.2598,2.2769,1.6118
adain,5310__western_painting__met_787672.jpg,0.2714,0.7151,0.1375,2.4532,1.8677
adain,5310__western_painting__met_788182.jpg,0.3918,0.6876,0.2293,2.2948,1.2131
adain,5500__chinese_landscape__130942.jpg,0.3916,0.7382,0.2258,2.5215,0.7972
adain,5500__chinese_landscape__132834.jpg,0.4447,0.7777,0.3368,2.4796,1.213
adain,5500__chinese_landscape__132836.jpg,0.4275,0.7856,0.3146,2.4815,1.2621
adain,5500__chinese_landscape__132840.jpg,0.5391,0.7051,0.4758,2.3866,1.1747
adain,5500__chinese_landscape__132930.jpg,0.5192,0.7792,0.3979,2.5627,0.656
adain,5500__chinese_landscape__137205.jpg,0.3181,0.744,0.1838,2.5709,1.6586
adain,5500__chinese_landscape__142574.jpg,0.4981,0.7694,0.3521,2.6465,0.8657
adain,5500__chinese_landscape__142578.jpg,0.3682,0.8016,0.186,2.5933,1.0981
adain,5500__chinese_landscape__144829.jpg,0.4012,0.7298,0.2273,2.4202,1.122
adain,5500__chinese_landscape__148342.jpg,0.3502,0.8069,0.1484,2.5905,0.8423
adain,5500__mural__img_1082crop_1_0.jpg,0.1926,0.7912,0.0918,2.6871,3.3846
adain,5500__mural__img_1224crop_0_0.jpg,0.0999,0.8278,0.0452,2.9633,5.3257
adain,5500__mural__img_1224crop_1_1.jpg,0.0958,0.8487,0.0425,2.9987,6.2784
adain,5500__mural__img_16crop_0_0.jpg,0.272,0.8337,0.0773,3.0796,1.7725
adain,5500__mural__img_276crop_1_0.jpg,0.1027,1.0699,0.0334,3.235,1.9134
adain,5500__mural__img_326crop_1_1.jpg,0.2853,0.7507,0.1119,3.0407,1.3107
adain,5500__mural__img_327crop_0_1.jpg,0.2999,0.7669,0.1592,2.8709,2.2294
adain,5500__mural__img_536crop_1_0.jpg,0.2655,0.7501,0.1288,2.9129,2.217
adain,5500__mural__img_593crop_0_0.jpg,0.2198,0.8044,0.1019,2.9704,1.7105
adain,5500__mural__img_739crop_1_1.jpg,0.1989,0.7856,0.1725,2.9772,1.8721
adain,5500__western_painting__met_359775.jpg,0.3485,0.686,0.2267,2.4051,1.6327
adain,5500__western_painting__met_383787.jpg,0.5304,0.605,0.4573,2.2029,1.0853
adain,5500__western_painting__met_406721.jpg,0.2966,0.7407,0.1399,2.7255,1.2882
adain,5500__western_painting__met_437769.jpg,0.2843,0.7027,0.3802,2.7445,1.3548
adain,5500__western_painting__met_437967.jpg,0.3501,0.8481,0.2376,2.7379,1.5357
adain,5500__western_painting__met_439405.jpg,0.4224,0.9511,0.4725,2.9361,1.7077
adain,5500__western_painting__met_649693.jpg,0.3702,0.7284,0.2972,2.2529,1.9696
adain,5500__western_painting__met_739494.jpg,0.3866,0.703,0.2803,2.493,2.0985
adain,5500__western_painting__met_787672.jpg,0.2785,0.7805,0.1783,2.342,1.9036
adain,5500__western_painting__met_788182.jpg,0.3994,0.763,0.2529,2.2978,1.2774
adain,5638__chinese_landscape__130942.jpg,0.4647,0.5806,0.3461,2.5498,0.7198
adain,5638__chinese_landscape__132834.jpg,0.452,0.5955,0.3939,2.3251,1.1221
adain,5638__chinese_landscape__132836.jpg,0.4506,0.5912,0.3866,2.3671,1.2118
adain,5638__chinese_landscape__132840.jpg,0.5061,0.5581,0.4962,2.3199,1.1269
adain,5638__chinese_landscape__132930.jpg,0.5248,0.5851,0.4878,2.541,0.6195
adain,5638__chinese_landscape__137205.jpg,0.3476,0.654,0.2387,2.4514,1.5774
adain,5638__chinese_landscape__142574.jpg,0.5195,0.6089,0.4484,2.4865,0.7674
adain,5638__chinese_landscape__142578.jpg,0.4345,0.6032,0.2968,2.4315,1.0467
adain,5638__chinese_landscape__144829.jpg,0.4439,0.6113,0.3332,2.3621,1.07
adain,5638__chinese_landscape__148342.jpg,0.4089,0.5826,0.2443,2.301,0.8274
adain,5638__mural__img_1082crop_1_0.jpg,0.2215,0.6913,0.1248,2.6934,3.3288
adain,5638__mural__img_1224crop_0_0.jpg,0.118,0.7351,0.0691,2.9056,5.0644
adain,5638__mural__img_1224crop_1_1.jpg,0.1012,0.7361,0.0526,2.9204,6.267
adain,5638__mural__img_16crop_0_0.jpg,0.3045,0.6991,0.1459,2.9339,1.6826
adain,5638__mural__img_276crop_1_0.jpg,0.1194,0.8257,0.0669,3.1232,1.787
adain,5638__mural__img_326crop_1_1.jpg,0.2947,0.7151,0.1478,2.948,1.0785
adain,5638__mural__img_327crop_0_1.jpg,0.3011,0.6761,0.173,2.7333,2.1101
adain,5638__mural__img_536crop_1_0.jpg,0.2684,0.7054,0.161,2.8632,1.9134
adain,5638__mural__img_593crop_0_0.jpg,0.2504,0.6506,0.1246,2.8233,1.2328
adain,5638__mural__img_739crop_1_1.jpg,0.2212,0.6507,0.2211,2.7665,1.6106
adain,5638__western_painting__met_359775.jpg,0.4465,0.5568,0.3413,2.1689,1.2666
adain,5638__western_painting__met_383787.jpg,0.4985,0.544,0.4944,2.1721,0.9233
adain,5638__western_painting__met_406721.jpg,0.3148,0.7007,0.2099,2.5641,1.0101
adain,5638__western_painting__met_437769.jpg,0.3228,0.5305,0.4148,2.3965,1.2873
adain,5638__western_painting__met_437967.jpg,0.411,0.555,0.3028,2.3966,1.2745
adain,5638__western_painting__met_439405.jpg,0.4359,0.5692,0.343,2.5798,1.5661
adain,5638__western_painting__met_649693.jpg,0.3717,0.5881,0.3194,2.274,1.5507
adain,5638__western_painting__met_739494.jpg,0.4432,0.5199,0.3586,2.166,1.5914
adain,5638__western_painting__met_787672.jpg,0.3112,0.5879,0.2121,2.2599,1.7864
adain,5638__western_painting__met_788182.jpg,0.4132,0.5488,0.3218,2.1611,1.098
adain,5751__chinese_landscape__130942.jpg,0.2353,0.5849,0.3325,2.6019,0.8187
adain,5751__chinese_landscape__132834.jpg,0.1866,0.6729,0.3311,2.8146,1.1645
adain,5751__chinese_landscape__132836.jpg,0.1877,0.6747,0.3437,2.8022,1.2353
adain,5751__chinese_landscape__132840.jpg,0.1881,0.6537,0.4127,2.8135,1.2561
adain,5751__chinese_landscape__132930.jpg,0.208,0.6609,0.4158,2.7662,0.6489
adain,5751__chinese_landscape__137205.jpg,0.158,0.6843,0.244,2.9096,1.7575
adain,5751__chinese_landscape__142574.jpg,0.2116,0.6721,0.3995,2.8388,0.8095
adain,5751__chinese_landscape__142578.jpg,0.2094,0.6536,0.282,2.7574,1.072
adain,5751__chinese_landscape__144829.jpg,0.1967,0.639,0.3096,2.7175,1.1066
adain,5751__chinese_landscape__148342.jpg,0.1879,0.6624,0.2553,2.836,0.8681
adain,5751__mural__img_1082crop_1_0.jpg,0.1703,0.7068,0.1558,2.8732,3.4011
adain,5751__mural__img_1224crop_0_0.jpg,0.1068,0.7395,0.0846,3.0941,5.363
adain,5751__mural__img_1224crop_1_1.jpg,0.0916,0.7424,0.0785,3.1205,6.102
adain,5751__mural__img_16crop_0_0.jpg,0.1692,0.7698,0.1586,3.2702,2.1231
adain,5751__mural__img_276crop_1_0.jpg,0.0919,0.846,0.0657,3.22,1.8587
adain,5751__mural__img_326crop_1_1.jpg,0.1573,0.7258,0.1846,3.1919,1.2043
adain,5751__mural__img_327crop_0_1.jpg,0.1664,0.7171,0.2173,2.9925,2.1548
adain,5751__mural__img_536crop_1_0.jpg,0.1895,0.6907,0.1901,2.95,1.8461
adain,5751__mural__img_593crop_0_0.jpg,0.1696,0.6964,0.1584,3.0519,1.4162
adain,5751__mural__img_739crop_1_1.jpg,0.3246,0.6587,0.2995,2.889,1.8391
adain,5751__western_painting__met_359775.jpg,0.1793,0.6374,0.2882,2.7702,1.3993
adain,5751__western_painting__met_383787.jpg,0.1875,0.6158,0.4219,2.6056,1.0484
adain,5751__western_painting__met_406721.jpg,0.1562,0.7116,0.2032,2.9135,1.2077
adain,5751__western_painting__met_437769.jpg,0.407,0.5683,0.427,2.6987,1.5632
adain,5751__western_painting__met_437967.jpg,0.3349,0.6536,0.3986,2.7422,1.5205
adain,5751__western_painting__met_439405.jpg,0.3209,0.6885,0.4323,2.8182,1.8364
adain,5751__western_painting__met_649693.jpg,0.173,0.6368,0.3262,2.6162,1.8027
adain,5751__western_painting__met_739494.jpg,0.1878,0.6298,0.3433,2.7391,1.9095
adain,5751__western_painting__met_787672.jpg,0.1551,0.6807,0.2279,2.7295,1.8624
adain,5751__western_painting__met_788182.jpg,0.1718,0.6561,0.3383,2.6839,1.2407
adain,5760__chinese_landscape__130942.jpg,0.2499,0.5837,0.3616,2.7044,0.6343
adain,5760__chinese_landscape__132834.jpg,0.2236,0.6074,0.3904,2.6313,1.0508
adain,5760__chinese_landscape__132836.jpg,0.2288,0.6111,0.3983,2.6671,1.1446
adain,5760__chinese_landscape__132840.jpg,0.2325,0.6071,0.4667,2.7537,1.1174
adain,5760__chinese_landscape__132930.jpg,0.2459,0.6213,0.4594,2.7632,0.628
adain,5760__chinese_landscape__137205.jpg,0.2006,0.6436,0.2777,2.7769,1.5932
adain,5760__chinese_landscape__142574.jpg,0.2481,0.6349,0.4355,2.792,0.7359
adain,5760__chinese_landscape__142578.jpg,0.237,0.6109,0.2989,2.6827,0.9569
adain,5760__chinese_landscape__144829.jpg,0.2327,0.6079,0.3312,2.6172,1.0081
adain,5760__chinese_landscape__148342.jpg,0.2266,0.5952,0.2615,2.6552,0.7731
adain,5760__mural__img_1082crop_1_0.jpg,0.1914,0.6358,0.1494,2.6635,3.4894
adain,5760__mural__img_1224crop_0_0.jpg,0.1228,0.6795,0.0786,2.8681,5.556
adain,5760__mural__img_1224crop_1_1.jpg,0.103,0.6808,0.0654,2.8159,6.6666
adain,5760__mural__img_16crop_0_0.jpg,0.199,0.693,0.1554,3.1078,1.9189
adain,5760__mural__img_276crop_1_0.jpg,0.1005,0.7612,0.0783,3.075,1.7818
adain,5760__mural__img_326crop_1_1.jpg,0.1867,0.6698,0.1535,2.8942,0.9986
adain,5760__mural__img_327crop_0_1.jpg,0.2042,0.6282,0.2014,2.5901,2.0095
adain,5760__mural__img_536crop_1_0.jpg,0.223,0.6181,0.1828,2.5515,1.879
adain,5760__mural__img_593crop_0_0.jpg,0.2003,0.6215,0.1397,2.6631,1.2407
adain,5760__mural__img_739crop_1_1.jpg,0.3313,0.5576,0.2898,2.5676,1.5558
adain,5760__western_painting__met_359775.jpg,0.2202,0.6008,0.2945,2.6572,1.4944
adain,5760__western_painting__met_383787.jpg,0.2242,0.6111,0.4525,2.7809,1.0191
adain,5760__western_painting__met_406721.jpg,0.183,0.6727,0.2108,2.7302,1.0329
adain,5760__western_painting__met_437769.jpg,0.394,0.4913,0.4409,2.3574,1.2886
adain,5760__western_painting__met_437967.jpg,0.3624,0.5356,0.3722,2.407,1.3906
adain,5760__western_painting__met_439405.jpg,0.3585,0.505,0.4694,2.3608,1.5057
adain,5760__western_painting__met_649693.jpg,0.1904,0.5989,0.3341,2.7006,1.77
adain,5760__western_painting__met_739494.jpg,0.2092,0.592,0.3145,2.7397,1.8228
adain,5760__western_painting__met_787672.jpg,0.1835,0.5981,0.2534,2.5557,1.7651
adain,5760__western_painting__met_788182.jpg,0.2032,0.5967,0.3347,2.6923,1.1927
adain,5837__chinese_landscape__130942.jpg,0.3171,0.6453,0.2979,2.7532,0.6358
adain,5837__chinese_landscape__132834.jpg,0.2807,0.6792,0.303,2.835,1.1434
adain,5837__chinese_landscape__132836.jpg,0.2821,0.6765,0.309,2.858,1.2344
adain,5837__chinese_landscape__132840.jpg,0.3206,0.6773,0.4473,2.8068,1.1618
adain,5837__chinese_landscape__132930.jpg,0.3313,0.6722,0.399,2.8957,0.5574
adain,5837__chinese_landscape__137205.jpg,0.2218,0.7489,0.1725,2.9372,1.633
adain,5837__chinese_landscape__142574.jpg,0.3298,0.7051,0.3608,2.9207,0.7118
adain,5837__chinese_landscape__142578.jpg,0.2847,0.6786,0.2128,2.8722,0.9727
adain,5837__chinese_landscape__144829.jpg,0.2914,0.7025,0.2448,2.788,1.0146
adain,5837__chinese_landscape__148342.jpg,0.2694,0.6638,0.1753,2.823,0.7748
adain,5837__mural__img_1082crop_1_0.jpg,0.1868,0.7584,0.0953,3.017,4.0004
adain,5837__mural__img_1224crop_0_0.jpg,0.1144,0.804,0.0512,3.1647,6.0605
adain,5837__mural__img_1224crop_1_1.jpg,0.0959,0.7957,0.0479,3.2025,7.4242
adain,5837__mural__img_16crop_0_0.jpg,0.2492,0.7871,0.0893,3.2856,1.9853
adain,5837__mural__img_276crop_1_0.jpg,0.1151,0.8217,0.0505,3.3026,2.0402
adain,5837__mural__img_326crop_1_1.jpg,0.2293,0.8272,0.112,3.1753,1.1509
adain,5837__mural__img_327crop_0_1.jpg,0.2307,0.7739,0.1525,3.0522,2.4747
adain,5837__mural__img_536crop_1_0.jpg,0.2372,0.7817,0.138,3.1151,2.245
adain,5837__mural__img_593crop_0_0.jpg,0.2067,0.7287,0.0893,3.1669,1.3411
adain,5837__mural__img_739crop_1_1.jpg,0.3315,0.6941,0.2277,2.9213,1.9437
adain,5837__western_painting__met_359775.jpg,0.2933,0.6899,0.2379,2.695,1.3444
adain,5837__western_painting__met_383787.jpg,0.3191,0.6734,0.4558,2.6083,0.9599
adain,5837__western_painting__met_406721.jpg,0.2182,0.7997,0.1598,2.9156,1.0091
adain,5837__western_painting__met_437769.jpg,0.557,0.6027,0.4367,2.564,1.3183
adain,5837__western_painting__met_437967.jpg,0.4905,0.5985,0.2917,2.6521,1.4876
adain,5837__western_painting__met_439405.jpg,0.5158,0.5392,0.439,2.6799,1.5539
adain,5837__western_painting__met_649693.jpg,0.2447,0.6653,0.2945,2.6123,1.4553
adain,5837__western_painting__met_739494.jpg,0.2747,0.6263,0.2844,2.7185,1.6722
adain,5837__western_painting__met_787672.jpg,0.1987,0.66,0.1761,2.7495,1.83
adain,5837__western_painting__met_788182.jpg,0.2711,0.6275,0.2653,2.6226,1.1488
adain,5934__chinese_landscape__130942.jpg,0.465,0.5981,0.2943,2.4919,0.6445
adain,5934__chinese_landscape__132834.jpg,0.5461,0.541,0.3671,2.3128,1.0172
adain,5934__chinese_landscape__132836.jpg,0.5311,0.5579,0.356,2.3818,1.1248
adain,5934__chinese_landscape__132840.jpg,0.6387,0.5367,0.5345,2.3511,1.0828
adain,5934__chinese_landscape__132930.jpg,0.653,0.538,0.5135,2.2893,0.5886
adain,5934__chinese_landscape__137205.jpg,0.3758,0.6448,0.1799,2.5582,1.4278
adain,5934__chinese_landscape__142574.jpg,0.627,0.5534,0.4703,2.3057,0.683
adain,5934__chinese_landscape__142578.jpg,0.4622,0.5901,0.2328,2.3844,0.8685
adain,5934__chinese_landscape__144829.jpg,0.5043,0.5934,0.2854,2.3791,1.0307
adain,5934__chinese_landscape__148342.jpg,0.4247,0.6033,0.1863,2.4228,0.5973
adain,5934__mural__img_1082crop_1_0.jpg,0.1843,0.6173,0.1085,2.4714,3.6046
adain,5934__mural__img_1224crop_0_0.jpg,0.0941,0.7078,0.0556,2.7385,5.5832
adain,5934__mural__img_1224crop_1_1.jpg,0.0988,0.7042,0.0434,2.6948,6.9452
adain,5934__mural__img_16crop_0_0.jpg,0.2617,0.6315,0.0981,2.6593,1.6419
adain,5934__mural__img_276crop_1_0.jpg,0.129,0.7012,0.0446,2.8775,1.7363
adain,5934__mural__img_326crop_1_1.jpg,0.2834,0.6671,0.1075,2.516,0.9163
adain,5934__mural__img_327crop_0_1.jpg,0.2843,0.595,0.1568,2.3766,2.1311
adain,5934__mural__img_536crop_1_0.jpg,0.2585,0.6153,0.1361,2.3957,2.0691
adain,5934__mural__img_593crop_0_0.jpg,0.211,0.646,0.1069,2.4751,1.2431
adain,5934__mural__img_739crop_1_1.jpg,0.1662,0.6386,0.1879,2.5098,1.5522
adain,5934__western_painting__met_359775.jpg,0.3988,0.6346,0.2318,2.3391,1.3685
adain,5934__western_painting__met_383787.jpg,0.5948,0.572,0.4816,2.4922,1.0355
adain,5934__western_painting__met_406721.jpg,0.3559,0.5839,0.158,2.2351,0.8747
adain,5934__western_painting__met_437769.jpg,0.2195,0.6432,0.4476,2.2972,0.9823
adain,5934__western_painting__met_437967.jpg,0.3025,0.6155,0.2687,2.3835,1.1836
adain,5934__western_painting__met_439405.jpg,0.3585,0.5404,0.3833,2.261,1.3158
adain,5934__western_painting__met_649693.jpg,0.3355,0.6215,0.2162,2.7466,1.7994
adain,5934__western_painting__met_739494.jpg,0.4087,0.5929,0.2616,2.444,1.5796
adain,5934__western_painting__met_787672.jpg,0.3181,0.5962,0.1436,2.3652,1.6996
adain,5934__western_painting__met_788182.jpg,0.4551,0.5927,0.2332,2.3916,1.0345
adain,6013__chinese_landscape__130942.jpg,0.5013,0.5756,0.3171,2.6605,0.7108
adain,6013__chinese_landscape__132834.jpg,0.4639,0.6464,0.278,2.8509,1.1706
adain,6013__chinese_landscape__132836.jpg,0.4648,0.6412,0.2895,2.9293,1.3022
adain,6013__chinese_landscape__132840.jpg,0.5503,0.5977,0.455,2.8048,1.3038
adain,6013__chinese_landscape__132930.jpg,0.5621,0.6288,0.3993,2.9587,0.6327
adain,6013__chinese_landscape__137205.jpg,0.3049,0.7211,0.1395,3.042,1.7804
adain,6013__chinese_landscape__142574.jpg,0.5495,0.6547,0.3517,2.9246,0.7524
adain,6013__chinese_landscape__142578.jpg,0.4178,0.6601,0.1996,2.9828,0.9876
adain,6013__chinese_landscape__144829.jpg,0.4683,0.6538,0.2587,2.9204,0.976
adain,6013__chinese_landscape__148342.jpg,0.392,0.6541,0.1685,2.9982,0.7288
adain,6013__mural__img_1082crop_1_0.jpg,0.1912,0.7383,0.091,3.0973,4.3107
adain,6013__mural__img_1224crop_0_0.jpg,0.1,0.7825,0.0512,3.3016,6.2707
adain,6013__mural__img_1224crop_1_1.jpg,0.1076,0.7686,0.0541,3.2785,7.6044
adain,6013__mural__img_16crop_0_0.jpg,0.2233,0.7726,0.0882,3.3676,1.947
adain,6013__mural__img_276crop_1_0.jpg,0.1578,0.7894,0.0648,3.0699,1.8332
adain,6013__mural__img_326crop_1_1.jpg,0.259,0.7762,0.0981,3.2185,1.2742
adain,6013__mural__img_327crop_0_1.jpg,0.2608,0.7373,0.124,3.117,2.9956
adain,6013__mural__img_536crop_1_0.jpg,0.2611,0.7289,0.12,3.035,2.5908
adain,6013__mural__img_593crop_0_0.jpg,0.2142,0.7051,0.0981,3.1137,1.7271
adain,6013__mural__img_739crop_1_1.jpg,0.1699,0.7079,0.1325,3.1276,1.9827
adain,6013__western_painting__met_359775.jpg,0.3977,0.6807,0.2007,2.9762,1.5979
adain,6013__western_painting__met_383787.jpg,0.5419,0.6139,0.4519,2.8791,1.1989
adain,6013__western_painting__met_406721.jpg,0.3346,0.7054,0.1428,2.7499,1.1145
adain,6013__western_painting__met_437769.jpg,0.2258,0.6801,0.3072,3.0602,1.4787
adain,6013__western_painting__met_437967.jpg,0.3086,0.6723,0.2143,2.9719,1.6249
adain,6013__western_painting__met_439405.jpg,0.3775,0.6336,0.2945,2.8324,1.7025
adain,6013__western_painting__met_649693.jpg,0.4249,0.6293,0.3161,2.8358,1.6752
adain,6013__western_painting__met_739494.jpg,0.4265,0.617,0.2409,2.9027,2.2346
adain,6013__western_painting__met_787672.jpg,0.2861,0.6573,0.1445,2.9342,2.0532
adain,6013__western_painting__met_788182.jpg,0.4085,0.6436,0.2148,2.9037,1.3682
adain,6062__chinese_landscape__130942.jpg,0.2919,0.6268,0.3074,2.5906,0.8163
adain,6062__chinese_landscape__132834.jpg,0.285,0.6416,0.3397,2.4907,1.056
adain,6062__chinese_landscape__132836.jpg,0.2845,0.6538,0.3379,2.5726,1.1148
adain,6062__chinese_landscape__132840.jpg,0.2838,0.6423,0.3697,2.6919,1.073
adain,6062__chinese_landscape__132930.jpg,0.2905,0.6854,0.3371,2.7733,0.6281
adain,6062__chinese_landscape__137205.jpg,0.2485,0.6801,0.2564,2.7207,1.6066
adain,6062__chinese_landscape__142574.jpg,0.2997,0.6919,0.336,2.7587,0.749
adain,6062__chinese_landscape__142578.jpg,0.2873,0.6684,0.2842,2.6151,1.0236
adain,6062__chinese_landscape__144829.jpg,0.2838,0.6476,0.31,2.5732,1.0617
adain,6062__chinese_landscape__148342.jpg,0.2629,0.6746,0.2423,2.6808,0.8205
adain,6062__mural__img_1082crop_1_0.jpg,0.2362,0.6253,0.1799,2.4743,3.3366
adain,6062__mural__img_1224crop_0_0.jpg,0.1576,0.6729,0.1147,2.7881,5.2739
adain,6062__mural__img_1224crop_1_1.jpg,0.1393,0.6799,0.0917,2.751,6.6139
adain,6062__mural__img_16crop_0_0.jpg,0.1986,0.7242,0.1542,3.0899,1.9267
adain,6062__mural__img_276crop_1_0.jpg,0.1063,0.8526,0.0749,3.1852,1.864
adain,6062__mural__img_326crop_1_1.jpg,0.2137,0.6917,0.1673,2.8828,1.0817
adain,6062__mural__img_327crop_0_1.jpg,0.2612,0.6178,0.218,2.5201,2.0263
adain,6062__mural__img_536crop_1_0.jpg,0.2756,0.588,0.2232,2.426,1.7782
adain,6062__mural__img_593crop_0_0.jpg,0.2235,0.6069,0.1671,2.5714,1.2368
adain,6062__mural__img_739crop_1_1.jpg,0.2615,0.6028,0.279,2.576,1.6846
adain,6062__western_painting__met_359775.jpg,0.2874,0.6249,0.309,2.623,1.3418
adain,6062__western_painting__met_383787.jpg,0.2776,0.6093,0.3742,2.6538,0.9798
adain,6062__western_painting__met_406721.jpg,0.2521,0.6235,0.2254,2.5243,1.152
adain,6062__western_painting__met_437769.jpg,0.2596,0.563,0.3171,2.4996,1.6401
adain,6062__western_painting__met_437967.jpg,0.2957,0.6244,0.3223,2.4782,1.3794
adain,6062__western_painting__met_439405.jpg,0.3034,0.6368,0.3537,2.4576,1.8932
adain,6062__western_painting__met_649693.jpg,0.2393,0.6519,0.2774,2.6595,1.9649
adain,6062__western_painting__met_739494.jpg,0.2698,0.6305,0.2865,2.7256,1.7932
adain,6062__western_painting__met_787672.jpg,0.2456,0.616,0.2534,2.5274,1.7515
adain,6062__western_painting__met_788182.jpg,0.253,0.6513,0.3018,2.6555,1.1432
adain,6089__chinese_landscape__130942.jpg,0.2788,0.6152,0.3104,2.4496,0.8056
adain,6089__chinese_landscape__132834.jpg,0.2479,0.6409,0.3326,2.3947,1.1648
adain,6089__chinese_landscape__132836.jpg,0.2487,0.6394,0.3311,2.4596,1.2261
adain,6089__chinese_landscape__132840.jpg,0.2628,0.6397,0.4307,2.4564,1.1595
adain,6089__chinese_landscape__132930.jpg,0.2663,0.6629,0.3784,2.6274,0.6431
adain,6089__chinese_landscape__137205.jpg,0.2118,0.697,0.2026,2.5483,1.7648
adain,6089__chinese_landscape__142574.jpg,0.2678,0.6827,0.3511,2.5973,0.787
adain,6089__chinese_landscape__142578.jpg,0.2556,0.6416,0.2291,2.4702,1.147
