metric,mean,ci95_low,ci95_high
lpips_spearman,0.3906666666666666,0.35132916666666664,0.43083333333333335
csd_spearman,0.6718333333333332,0.6455,0.6976666666666667
lpips_adjacent_violation_rate,0.32125,0.3070833333333333,0.33541666666666664
csd_adjacent_violation_rate,0.27208333333333334,0.255,0.28875
direction_success,0.6083333333333333,0.57,0.6483333333333333
locality_contrast,0.014792230193385016,0.013216968427637527,0.016386756199278988
