method,output,ssim,lpips,e_ssim,l_c,l_s
saliency_routed_spatial_alpha,1185__western_painting__met_649693.png,0.561,0.5411,0.3881,1.9999,1.4855
saliency_routed_spatial_alpha,1185__western_painting__met_739494.png,0.6614,0.451,0.5262,1.4868,1.6125
saliency_routed_spatial_alpha,1185__western_painting__met_787672.png,0.5403,0.5076,0.3946,1.694,1.1643
saliency_routed_spatial_alpha,1185__western_painting__met_788182.png,0.6429,0.4564,0.4637,1.4064,0.9952
saliency_routed_spatial_alpha,1269__chinese_landscape__130942.png,0.3216,0.6467,0.4364,1.7241,0.7959
saliency_routed_spatial_alpha,1269__chinese_landscape__132834.png,0.2707,0.7474,0.3813,1.82,0.7755
saliency_routed_spatial_alpha,1269__chinese_landscape__132836.png,0.2645,0.7505,0.3679,1.8465,0.8552
saliency_routed_spatial_alpha,1269__chinese_landscape__132840.png,0.274,0.701,0.4693,1.8145,0.6953
saliency_routed_spatial_alpha,1269__chinese_landscape__132930.png,0.3041,0.7326,0.4836,1.6,0.5816
saliency_routed_spatial_alpha,1269__chinese_landscape__137205.png,0.2471,0.73,0.3012,1.8852,1.188
saliency_routed_spatial_alpha,1269__chinese_landscape__142574.png,0.313,0.7328,0.4672,1.6264,0.7
saliency_routed_spatial_alpha,1269__chinese_landscape__142578.png,0.294,0.7076,0.3442,1.6524,0.969
saliency_routed_spatial_alpha,1269__chinese_landscape__144829.png,0.2873,0.7074,0.3655,1.6799,0.715
saliency_routed_spatial_alpha,1269__chinese_landscape__148342.png,0.3001,0.7001,0.3084,1.532,0.9448
saliency_routed_spatial_alpha,1269__mural__img_1082crop_1_0.png,0.263,0.7859,0.2189,2.2908,3.1335
saliency_routed_spatial_alpha,1269__mural__img_1224crop_0_0.png,0.2123,0.767,0.1642,2.318,5.41
saliency_routed_spatial_alpha,1269__mural__img_1224crop_1_1.png,0.1701,0.8094,0.1389,2.4463,6.8363
saliency_routed_spatial_alpha,1269__mural__img_16crop_0_0.png,0.3338,0.7299,0.2156,1.8063,1.3863
saliency_routed_spatial_alpha,1269__mural__img_276crop_1_0.png,0.1983,0.8949,0.1636,2.1485,1.4496
saliency_routed_spatial_alpha,1269__mural__img_326crop_1_1.png,0.3001,0.742,0.232,1.8977,1.1841
saliency_routed_spatial_alpha,1269__mural__img_327crop_0_1.png,0.2809,0.7598,0.2643,2.1074,2.6173
saliency_routed_spatial_alpha,1269__mural__img_536crop_1_0.png,0.2909,0.7148,0.2528,2.1387,2.2168
saliency_routed_spatial_alpha,1269__mural__img_593crop_0_0.png,0.2898,0.6783,0.2313,2.0255,1.4242
saliency_routed_spatial_alpha,1269__mural__img_739crop_1_1.png,0.3676,0.6667,0.3132,1.9815,1.7153
saliency_routed_spatial_alpha,1269__western_painting__met_359775.png,0.3071,0.613,0.3772,1.8221,1.2386
saliency_routed_spatial_alpha,1269__western_painting__met_383787.png,0.2801,0.6907,0.4376,1.9707,0.8013
saliency_routed_spatial_alpha,1269__western_painting__met_406721.png,0.2547,0.7576,0.3068,1.7785,0.9301
saliency_routed_spatial_alpha,1269__western_painting__met_437769.png,0.6161,0.4312,0.6356,1.255,1.4037
saliency_routed_spatial_alpha,1269__western_painting__met_437967.png,0.4477,0.682,0.3247,1.5883,1.2302
saliency_routed_spatial_alpha,1269__western_painting__met_439405.png,0.4967,0.6799,0.6051,1.4064,1.3415
saliency_routed_spatial_alpha,1269__western_painting__met_649693.png,0.2668,0.7563,0.3416,2.1266,1.7025
saliency_routed_spatial_alpha,1269__western_painting__met_739494.png,0.2955,0.669,0.408,1.8022,1.6302
saliency_routed_spatial_alpha,1269__western_painting__met_787672.png,0.2423,0.7325,0.2916,2.1762,1.0482
saliency_routed_spatial_alpha,1269__western_painting__met_788182.png,0.2754,0.7092,0.3482,1.7936,0.9025
saliency_routed_spatial_alpha,129__chinese_landscape__130942.png,0.6792,0.4733,0.5437,1.7663,1.1244
saliency_routed_spatial_alpha,129__chinese_landscape__132834.png,0.6761,0.4979,0.5186,1.8781,0.9112
saliency_routed_spatial_alpha,129__chinese_landscape__132836.png,0.6595,0.5094,0.4942,1.9069,0.9709
saliency_routed_spatial_alpha,129__chinese_landscape__132840.png,0.7279,0.4588,0.6211,1.7914,0.8727
saliency_routed_spatial_alpha,129__chinese_landscape__132930.png,0.7443,0.4718,0.5839,1.7172,0.7571
saliency_routed_spatial_alpha,129__chinese_landscape__137205.png,0.5481,0.5853,0.3682,2.1099,1.2218
