method,output,ssim,lpips,e_ssim,l_c,l_s
saliency_routed_spatial_alpha,3466__chinese_landscape__142574.png,0.8231,0.4161,0.6884,1.0839,0.6986
saliency_routed_spatial_alpha,3466__chinese_landscape__142578.png,0.753,0.4473,0.5694,1.2143,0.9908
saliency_routed_spatial_alpha,3466__chinese_landscape__144829.png,0.7527,0.4609,0.6024,1.1949,0.7029
saliency_routed_spatial_alpha,3466__chinese_landscape__148342.png,0.7367,0.4391,0.5245,1.1843,0.9927
saliency_routed_spatial_alpha,3466__mural__img_1082crop_1_0.png,0.438,0.6052,0.3149,1.9854,3.2318
saliency_routed_spatial_alpha,3466__mural__img_1224crop_0_0.png,0.2837,0.6905,0.2162,2.2044,5.6419
saliency_routed_spatial_alpha,3466__mural__img_1224crop_1_1.png,0.2868,0.6922,0.1855,2.3013,7.0725
saliency_routed_spatial_alpha,3466__mural__img_16crop_0_0.png,0.5692,0.5411,0.3809,1.5178,1.3857
saliency_routed_spatial_alpha,3466__mural__img_276crop_1_0.png,0.4132,0.623,0.2743,1.9185,1.4127
saliency_routed_spatial_alpha,3466__mural__img_326crop_1_1.png,0.6072,0.5872,0.4106,1.6079,1.3528
saliency_routed_spatial_alpha,3466__mural__img_327crop_0_1.png,0.5602,0.59,0.4071,1.7985,2.6249
saliency_routed_spatial_alpha,3466__mural__img_536crop_1_0.png,0.5274,0.6058,0.3852,1.8446,2.2723
saliency_routed_spatial_alpha,3466__mural__img_593crop_0_0.png,0.5117,0.5539,0.3702,1.7429,1.4456
saliency_routed_spatial_alpha,3466__mural__img_739crop_1_1.png,0.4151,0.5513,0.4278,1.8325,1.9548
saliency_routed_spatial_alpha,3466__western_painting__met_359775.png,0.7532,0.4612,0.6266,1.2769,1.4661
saliency_routed_spatial_alpha,3466__western_painting__met_383787.png,0.7866,0.4663,0.7131,1.3404,0.9829
saliency_routed_spatial_alpha,3466__western_painting__met_406721.png,0.6593,0.5537,0.5148,1.4187,0.9087
saliency_routed_spatial_alpha,3466__western_painting__met_437769.png,0.4876,0.4363,0.6971,1.059,1.1886
saliency_routed_spatial_alpha,3466__western_painting__met_437967.png,0.643,0.4195,0.5636,1.2091,1.4617
saliency_routed_spatial_alpha,3466__western_painting__met_439405.png,0.7516,0.2915,0.7793,0.8719,1.6093
saliency_routed_spatial_alpha,3466__western_painting__met_649693.png,0.6276,0.5282,0.4638,1.932,1.5521
saliency_routed_spatial_alpha,3466__western_painting__met_739494.png,0.7378,0.4035,0.6274,1.2627,1.5645
saliency_routed_spatial_alpha,3466__western_painting__met_787672.png,0.6069,0.5063,0.4716,1.6894,1.1665
saliency_routed_spatial_alpha,3466__western_painting__met_788182.png,0.7266,0.4343,0.5835,1.2841,0.9521
saliency_routed_spatial_alpha,3492__chinese_landscape__130942.png,0.4343,0.4381,0.5117,1.4006,0.9906
saliency_routed_spatial_alpha,3492__chinese_landscape__132834.png,0.3605,0.4975,0.4516,1.4736,0.886
saliency_routed_spatial_alpha,3492__chinese_landscape__132836.png,0.3521,0.5214,0.4283,1.5675,0.849
saliency_routed_spatial_alpha,3492__chinese_landscape__132840.png,0.3523,0.4904,0.5019,1.54,0.7771
saliency_routed_spatial_alpha,3492__chinese_landscape__132930.png,0.3732,0.479,0.5143,1.3945,0.6056
saliency_routed_spatial_alpha,3492__chinese_landscape__137205.png,0.339,0.5641,0.3603,1.6623,1.2862
saliency_routed_spatial_alpha,3492__chinese_landscape__142574.png,0.3827,0.5029,0.4862,1.4433,0.6323
saliency_routed_spatial_alpha,3492__chinese_landscape__142578.png,0.3906,0.5082,0.4087,1.4566,0.9156
saliency_routed_spatial_alpha,3492__chinese_landscape__144829.png,0.3794,0.5186,0.4283,1.431,0.8003
saliency_routed_spatial_alpha,3492__chinese_landscape__148342.png,0.3931,0.49,0.3768,1.4532,0.978
saliency_routed_spatial_alpha,3492__mural__img_1082crop_1_0.png,0.4167,0.5993,0.3405,2.0403,3.0452
saliency_routed_spatial_alpha,3492__mural__img_1224crop_0_0.png,0.3285,0.669,0.2529,2.3599,5.4016
saliency_routed_spatial_alpha,3492__mural__img_1224crop_1_1.png,0.2749,0.6912,0.2252,2.5367,6.7726
saliency_routed_spatial_alpha,3492__mural__img_16crop_0_0.png,0.4306,0.5562,0.3049,1.7933,1.6276
saliency_routed_spatial_alpha,3492__mural__img_276crop_1_0.png,0.2883,0.6941,0.2379,2.1728,1.5335
saliency_routed_spatial_alpha,3492__mural__img_326crop_1_1.png,0.3967,0.6123,0.3206,1.9903,1.3555
saliency_routed_spatial_alpha,3492__mural__img_327crop_0_1.png,0.4101,0.5963,0.3623,1.995,2.7778
saliency_routed_spatial_alpha,3492__mural__img_536crop_1_0.png,0.4309,0.5887,0.3747,2.0033,2.2195
saliency_routed_spatial_alpha,3492__mural__img_593crop_0_0.png,0.4347,0.5522,0.351,1.9188,1.4965
saliency_routed_spatial_alpha,3492__mural__img_739crop_1_1.png,0.5897,0.5338,0.4203,1.9808,1.8163
saliency_routed_spatial_alpha,3492__western_painting__met_359775.png,0.4249,0.4594,0.4684,1.4802,1.3015
saliency_routed_spatial_alpha,3492__western_painting__met_383787.png,0.3777,0.487,0.5086,1.5107,0.8263
saliency_routed_spatial_alpha,3492__western_painting__met_406721.png,0.3602,0.5551,0.4011,1.5056,0.8601
saliency_routed_spatial_alpha,3492__western_painting__met_437769.png,0.7671,0.3633,0.6894,1.1873,1.4747
saliency_routed_spatial_alpha,3492__western_painting__met_437967.png,0.614,0.4478,0.4563,1.4734,1.2604
saliency_routed_spatial_alpha,3492__western_painting__met_439405.png,0.6932,0.3832,0.675,1.3758,1.7632
saliency_routed_spatial_alpha,3492__western_painting__met_649693.png,0.382,0.4962,0.4323,1.755,1.7431
saliency_routed_spatial_alpha,3492__western_painting__met_739494.png,0.419,0.3938,0.511,1.3401,1.3087
saliency_routed_spatial_alpha,3492__western_painting__met_787672.png,0.3444,0.5169,0.3798,1.7682,1.1246
saliency_routed_spatial_alpha,3492__western_painting__met_788182.png,0.3722,0.461,0.4383,1.4517,0.8975
saliency_routed_spatial_alpha,3505__chinese_landscape__130942.png,0.7613,0.4332,0.6401,1.1798,0.8708
saliency_routed_spatial_alpha,3505__chinese_landscape__132834.png,0.7432,0.4613,0.5728,1.3418,0.746
saliency_routed_spatial_alpha,3505__chinese_landscape__132836.png,0.73,0.4785,0.5596,1.4398,0.7755
saliency_routed_spatial_alpha,3505__chinese_landscape__132840.png,0.7902,0.4415,0.6745,1.3552,0.6516
saliency_routed_spatial_alpha,3505__chinese_landscape__132930.png,0.7966,0.463,0.6288,1.2483,0.54
saliency_routed_spatial_alpha,3505__chinese_landscape__137205.png,0.6131,0.5535,0.432,1.6841,1.0991
saliency_routed_spatial_alpha,3505__chinese_landscape__142574.png,0.7734,0.4986,0.594,1.3442,0.617
saliency_routed_spatial_alpha,3505__chinese_landscape__142578.png,0.682,0.5175,0.4573,1.4299,0.8737
saliency_routed_spatial_alpha,3505__chinese_landscape__144829.png,0.7119,0.5217,0.5186,1.3815,0.7428
saliency_routed_spatial_alpha,3505__chinese_landscape__148342.png,0.6462,0.5126,0.4134,1.4387,0.9146
saliency_routed_spatial_alpha,3505__mural__img_1082crop_1_0.png,0.353,0.5764,0.2791,1.8989,3.3612
saliency_routed_spatial_alpha,3505__mural__img_1224crop_0_0.png,0.2183,0.6641,0.1915,2.2674,5.8603
saliency_routed_spatial_alpha,3505__mural__img_1224crop_1_1.png,0.2495,0.6714,0.185,2.3816,7.1211
saliency_routed_spatial_alpha,3505__mural__img_16crop_0_0.png,0.4437,0.5615,0.2832,1.6994,1.4366
saliency_routed_spatial_alpha,3505__mural__img_276crop_1_0.png,0.3524,0.6134,0.2252,2.0504,1.3859
saliency_routed_spatial_alpha,3505__mural__img_326crop_1_1.png,0.5135,0.6108,0.2997,1.8387,1.5601
saliency_routed_spatial_alpha,3505__mural__img_327crop_0_1.png,0.4836,0.6011,0.309,1.9324,2.8318
saliency_routed_spatial_alpha,3505__mural__img_536crop_1_0.png,0.4442,0.5992,0.314,1.9203,2.388
saliency_routed_spatial_alpha,3505__mural__img_593crop_0_0.png,0.4101,0.5701,0.2894,1.8529,1.6501
saliency_routed_spatial_alpha,3505__mural__img_739crop_1_1.png,0.2983,0.5787,0.3072,1.9416,2.0902
saliency_routed_spatial_alpha,3505__western_painting__met_359775.png,0.6627,0.4949,0.5224,1.4707,1.4622
saliency_routed_spatial_alpha,3505__western_painting__met_383787.png,0.7747,0.4849,0.6337,1.4533,0.8468
saliency_routed_spatial_alpha,3505__western_painting__met_406721.png,0.6594,0.5388,0.4388,1.3978,0.87
saliency_routed_spatial_alpha,3505__western_painting__met_437769.png,0.3434,0.5297,0.4849,1.3785,1.4285
saliency_routed_spatial_alpha,3505__western_painting__met_437967.png,0.4742,0.5317,0.371,1.4947,1.3117
saliency_routed_spatial_alpha,3505__western_painting__met_439405.png,0.5655,0.432,0.6224,1.3539,1.6928
saliency_routed_spatial_alpha,3505__western_painting__met_649693.png,0.6239,0.4986,0.5065,1.7412,1.5469
saliency_routed_spatial_alpha,3505__western_painting__met_739494.png,0.7047,0.4462,0.5228,1.3338,1.3575
saliency_routed_spatial_alpha,3505__western_painting__met_787672.png,0.6086,0.4981,0.4572,1.6448,1.1049
saliency_routed_spatial_alpha,3505__western_painting__met_788182.png,0.7039,0.4661,0.5104,1.3805,0.9426
saliency_routed_spatial_alpha,3608__chinese_landscape__130942.png,0.6261,0.4734,0.5359,1.3929,1.0063
saliency_routed_spatial_alpha,3608__chinese_landscape__132834.png,0.557,0.5277,0.441,1.63,0.9734
saliency_routed_spatial_alpha,3608__chinese_landscape__132836.png,0.548,0.5346,0.4373,1.6881,0.9625
saliency_routed_spatial_alpha,3608__chinese_landscape__132840.png,0.6015,0.4868,0.5164,1.5932,0.8447
saliency_routed_spatial_alpha,3608__chinese_landscape__132930.png,0.6362,0.5229,0.5033,1.5306,0.6277
saliency_routed_spatial_alpha,3608__chinese_landscape__137205.png,0.4619,0.5857,0.3529,1.9088,1.2839
saliency_routed_spatial_alpha,3608__chinese_landscape__142574.png,0.6265,0.5386,0.4801,1.5723,0.6724
saliency_routed_spatial_alpha,3608__chinese_landscape__142578.png,0.5424,0.5509,0.3768,1.6869,1.0349
saliency_routed_spatial_alpha,3608__chinese_landscape__144829.png,0.5651,0.5424,0.4181,1.5534,0.8427
saliency_routed_spatial_alpha,3608__chinese_landscape__148342.png,0.5273,0.5556,0.3468,1.6752,1.0829
saliency_routed_spatial_alpha,3608__mural__img_1082crop_1_0.png,0.3694,0.6165,0.2871,1.9823,3.034
saliency_routed_spatial_alpha,3608__mural__img_1224crop_0_0.png,0.2464,0.6749,0.2076,2.2834,5.6653
saliency_routed_spatial_alpha,3608__mural__img_1224crop_1_1.png,0.2488,0.6929,0.195,2.3775,6.5732
saliency_routed_spatial_alpha,3608__mural__img_16crop_0_0.png,0.4347,0.6153,0.2571,1.8887,1.7272
saliency_routed_spatial_alpha,3608__mural__img_276crop_1_0.png,0.314,0.72,0.2085,2.2395,1.742
saliency_routed_spatial_alpha,3608__mural__img_326crop_1_1.png,0.4738,0.6254,0.2774,1.9306,1.624
saliency_routed_spatial_alpha,3608__mural__img_327crop_0_1.png,0.443,0.6264,0.3108,2.0358,2.773
saliency_routed_spatial_alpha,3608__mural__img_536crop_1_0.png,0.4462,0.6025,0.336,1.9205,2.0803
saliency_routed_spatial_alpha,3608__mural__img_593crop_0_0.png,0.4005,0.5931,0.2913,1.9582,1.8821
saliency_routed_spatial_alpha,3608__mural__img_739crop_1_1.png,0.333,0.5854,0.3175,1.9705,2.1699
saliency_routed_spatial_alpha,3608__western_painting__met_359775.png,0.54,0.5237,0.4361,1.7205,1.3319
saliency_routed_spatial_alpha,3608__western_painting__met_383787.png,0.601,0.5029,0.5338,1.6188,0.997
saliency_routed_spatial_alpha,3608__western_painting__met_406721.png,0.5333,0.5641,0.3847,1.623,1.0354
saliency_routed_spatial_alpha,3608__western_painting__met_437769.png,0.386,0.516,0.4649,1.4914,1.4743
saliency_routed_spatial_alpha,3608__western_painting__met_437967.png,0.4793,0.5674,0.3546,1.6755,1.3639
saliency_routed_spatial_alpha,3608__western_painting__met_439405.png,0.5573,0.5505,0.5238,1.6042,1.7392
saliency_routed_spatial_alpha,3608__western_painting__met_649693.png,0.5073,0.5516,0.4124,1.9033,1.426
saliency_routed_spatial_alpha,3608__western_painting__met_739494.png,0.568,0.4801,0.4884,1.5732,1.4651
saliency_routed_spatial_alpha,3608__western_painting__met_787672.png,0.4574,0.5385,0.3674,1.8452,1.1016
saliency_routed_spatial_alpha,3608__western_painting__met_788182.png,0.5296,0.5249,0.4161,1.6501,0.9801
saliency_routed_spatial_alpha,361__chinese_landscape__130942.png,0.7442,0.4762,0.5893,1.3033,0.8878
saliency_routed_spatial_alpha,361__chinese_landscape__132834.png,0.7074,0.5134,0.5145,1.5239,0.8266
saliency_routed_spatial_alpha,361__chinese_landscape__132836.png,0.6952,0.5219,0.5062,1.6028,0.9194
saliency_routed_spatial_alpha,361__chinese_landscape__132840.png,0.7421,0.4839,0.5913,1.5039,0.7431
saliency_routed_spatial_alpha,361__chinese_landscape__132930.png,0.7547,0.5105,0.551,1.3978,0.5146
saliency_routed_spatial_alpha,361__chinese_landscape__137205.png,0.6007,0.5842,0.4233,1.8759,1.338
saliency_routed_spatial_alpha,361__chinese_landscape__142574.png,0.7411,0.5385,0.5286,1.4395,0.6329
saliency_routed_spatial_alpha,361__chinese_landscape__142578.png,0.6671,0.547,0.4293,1.5659,0.9313
saliency_routed_spatial_alpha,361__chinese_landscape__144829.png,0.6904,0.5404,0.4768,1.4541,0.7208
saliency_routed_spatial_alpha,361__chinese_landscape__148342.png,0.6431,0.5476,0.4001,1.5865,0.9081
saliency_routed_spatial_alpha,361__mural__img_1082crop_1_0.png,0.4308,0.577,0.3075,1.9109,3.7456
saliency_routed_spatial_alpha,361__mural__img_1224crop_0_0.png,0.2738,0.6585,0.2221,2.3084,6.603
saliency_routed_spatial_alpha,361__mural__img_1224crop_1_1.png,0.3174,0.6554,0.2183,2.3617,7.8363
saliency_routed_spatial_alpha,361__mural__img_16crop_0_0.png,0.4947,0.5515,0.3085,1.644,1.6341
saliency_routed_spatial_alpha,361__mural__img_276crop_1_0.png,0.4116,0.6172,0.2476,2.1063,1.6761
saliency_routed_spatial_alpha,361__mural__img_326crop_1_1.png,0.5714,0.5887,0.3352,1.7024,1.5993
saliency_routed_spatial_alpha,361__mural__img_327crop_0_1.png,0.5689,0.5776,0.3813,1.8089,3.1241
saliency_routed_spatial_alpha,361__mural__img_536crop_1_0.png,0.5348,0.5601,0.3745,1.7511,2.3016
saliency_routed_spatial_alpha,361__mural__img_593crop_0_0.png,0.4866,0.5484,0.3409,1.7833,1.8601
saliency_routed_spatial_alpha,361__mural__img_739crop_1_1.png,0.35,0.5666,0.3296,1.8613,2.1911
saliency_routed_spatial_alpha,361__western_painting__met_359775.png,0.6621,0.5423,0.4854,1.7234,1.3235
saliency_routed_spatial_alpha,361__western_painting__met_383787.png,0.7163,0.5408,0.5506,1.7988,0.8741
saliency_routed_spatial_alpha,361__western_painting__met_406721.png,0.6727,0.5537,0.4427,1.4788,0.9669
saliency_routed_spatial_alpha,361__western_painting__met_437769.png,0.3709,0.5364,0.4897,1.3108,1.3656
saliency_routed_spatial_alpha,361__western_painting__met_437967.png,0.5137,0.5668,0.3994,1.4997,1.5019
saliency_routed_spatial_alpha,361__western_painting__met_439405.png,0.6063,0.4663,0.5942,1.3025,1.4937
saliency_routed_spatial_alpha,361__western_painting__met_649693.png,0.616,0.5488,0.4656,2.0323,1.5853
saliency_routed_spatial_alpha,361__western_painting__met_739494.png,0.6895,0.4949,0.5202,1.5578,1.6598
saliency_routed_spatial_alpha,361__western_painting__met_787672.png,0.598,0.5264,0.4329,1.8171,1.2621
saliency_routed_spatial_alpha,361__western_painting__met_788182.png,0.6645,0.5214,0.4594,1.6123,0.9644
saliency_routed_spatial_alpha,3735__chinese_landscape__130942.png,0.6661,0.4645,0.6486,1.4756,1.4467
saliency_routed_spatial_alpha,3735__chinese_landscape__132834.png,0.6711,0.4917,0.5532,1.6568,1.2038
saliency_routed_spatial_alpha,3735__chinese_landscape__132836.png,0.6666,0.497,0.5545,1.7505,1.1279
saliency_routed_spatial_alpha,3735__chinese_landscape__132840.png,0.6593,0.4818,0.5398,1.6926,1.1612
saliency_routed_spatial_alpha,3735__chinese_landscape__132930.png,0.6359,0.5034,0.4566,1.6917,0.8931
saliency_routed_spatial_alpha,3735__chinese_landscape__137205.png,0.6135,0.5702,0.4884,1.9549,1.3624
saliency_routed_spatial_alpha,3735__chinese_landscape__142574.png,0.6228,0.5363,0.4653,1.8031,0.8907
saliency_routed_spatial_alpha,3735__chinese_landscape__142578.png,0.6133,0.5403,0.463,1.8106,1.2035
saliency_routed_spatial_alpha,3735__chinese_landscape__144829.png,0.6417,0.5231,0.5208,1.5765,1.2894
saliency_routed_spatial_alpha,3735__chinese_landscape__148342.png,0.5937,0.5444,0.4444,1.8087,1.4047
saliency_routed_spatial_alpha,3735__mural__img_1082crop_1_0.png,0.3888,0.64,0.3412,2.3199,2.9757
saliency_routed_spatial_alpha,3735__mural__img_1224crop_0_0.png,0.2662,0.7049,0.2418,2.5707,5.1622
saliency_routed_spatial_alpha,3735__mural__img_1224crop_1_1.png,0.3022,0.6971,0.2447,2.551,6.2931
saliency_routed_spatial_alpha,3735__mural__img_16crop_0_0.png,0.4088,0.6084,0.3402,2.1378,2.068
saliency_routed_spatial_alpha,3735__mural__img_276crop_1_0.png,0.4225,0.6294,0.3061,2.3367,1.8633
saliency_routed_spatial_alpha,3735__mural__img_326crop_1_1.png,0.4777,0.6575,0.3611,2.2592,1.337
saliency_routed_spatial_alpha,3735__mural__img_327crop_0_1.png,0.4864,0.6438,0.402,2.286,2.4236
saliency_routed_spatial_alpha,3735__mural__img_536crop_1_0.png,0.4642,0.6317,0.4086,2.165,2.0144
saliency_routed_spatial_alpha,3735__mural__img_593crop_0_0.png,0.4269,0.6157,0.3741,2.2271,1.6565
saliency_routed_spatial_alpha,3735__mural__img_739crop_1_1.png,0.3211,0.6255,0.3425,2.4073,1.9411
saliency_routed_spatial_alpha,3735__western_painting__met_359775.png,0.5906,0.5656,0.5189,1.9739,1.6747
saliency_routed_spatial_alpha,3735__western_painting__met_383787.png,0.6484,0.5233,0.5422,1.7779,1.4482
saliency_routed_spatial_alpha,3735__western_painting__met_406721.png,0.6071,0.6142,0.4577,1.939,1.1799
saliency_routed_spatial_alpha,3735__western_painting__met_437769.png,0.2646,0.6235,0.4018,2.107,1.6454
saliency_routed_spatial_alpha,3735__western_painting__met_437967.png,0.4052,0.6044,0.4194,2.0641,1.3191
saliency_routed_spatial_alpha,3735__western_painting__met_439405.png,0.4565,0.5514,0.4671,1.9853,1.8929
saliency_routed_spatial_alpha,3735__western_painting__met_649693.png,0.5999,0.5135,0.5282,1.9844,2.1102
saliency_routed_spatial_alpha,3735__western_painting__met_739494.png,0.6193,0.5136,0.5247,1.8785,1.6735
saliency_routed_spatial_alpha,3735__western_painting__met_787672.png,0.5948,0.5335,0.4872,1.9982,1.3492
saliency_routed_spatial_alpha,3735__western_painting__met_788182.png,0.6237,0.5179,0.4947,1.8502,1.3016
saliency_routed_spatial_alpha,3750__chinese_landscape__130942.png,0.421,0.384,0.6159,1.3157,1.1176
saliency_routed_spatial_alpha,3750__chinese_landscape__132834.png,0.3341,0.4866,0.4981,1.6196,1.0365
saliency_routed_spatial_alpha,3750__chinese_landscape__132836.png,0.3354,0.4951,0.4915,1.6878,1.0037
saliency_routed_spatial_alpha,3750__chinese_landscape__132840.png,0.3181,0.4855,0.5327,1.6842,0.9132
saliency_routed_spatial_alpha,3750__chinese_landscape__132930.png,0.331,0.4681,0.5565,1.4384,0.6793
saliency_routed_spatial_alpha,3750__chinese_landscape__137205.png,0.3277,0.5585,0.3964,1.8324,1.2352
saliency_routed_spatial_alpha,3750__chinese_landscape__142574.png,0.3439,0.4933,0.544,1.5423,0.7435
saliency_routed_spatial_alpha,3750__chinese_landscape__142578.png,0.369,0.4837,0.4752,1.5566,1.0248
saliency_routed_spatial_alpha,3750__chinese_landscape__144829.png,0.3638,0.5011,0.5048,1.5026,0.806
saliency_routed_spatial_alpha,3750__chinese_landscape__148342.png,0.3715,0.4608,0.4229,1.4873,1.0877
saliency_routed_spatial_alpha,3750__mural__img_1082crop_1_0.png,0.4037,0.5701,0.3371,2.1764,3.2707
saliency_routed_spatial_alpha,3750__mural__img_1224crop_0_0.png,0.3113,0.656,0.2447,2.5159,5.8979
saliency_routed_spatial_alpha,3750__mural__img_1224crop_1_1.png,0.2591,0.6659,0.2129,2.5914,7.0195
saliency_routed_spatial_alpha,3750__mural__img_16crop_0_0.png,0.4083,0.5393,0.3148,2.0317,1.6462
saliency_routed_spatial_alpha,3750__mural__img_276crop_1_0.png,0.2876,0.6551,0.2503,2.296,1.5659
saliency_routed_spatial_alpha,3750__mural__img_326crop_1_1.png,0.3635,0.631,0.3234,2.1987,1.5416
saliency_routed_spatial_alpha,3750__mural__img_327crop_0_1.png,0.3671,0.6149,0.3474,2.2761,2.7573
saliency_routed_spatial_alpha,3750__mural__img_536crop_1_0.png,0.4041,0.5867,0.3822,2.171,2.1854
saliency_routed_spatial_alpha,3750__mural__img_593crop_0_0.png,0.4182,0.5319,0.357,2.0753,1.8319
saliency_routed_spatial_alpha,3750__mural__img_739crop_1_1.png,0.5662,0.4947,0.4533,2.1207,2.2534
saliency_routed_spatial_alpha,3750__western_painting__met_359775.png,0.3956,0.4506,0.4996,1.5804,1.5321
saliency_routed_spatial_alpha,3750__western_painting__met_383787.png,0.3433,0.4694,0.5601,1.5267,1.0182
saliency_routed_spatial_alpha,3750__western_painting__met_406721.png,0.3334,0.5679,0.4391,1.7342,0.9846
saliency_routed_spatial_alpha,3750__western_painting__met_437769.png,0.6853,0.3749,0.6556,1.3982,1.625
saliency_routed_spatial_alpha,3750__western_painting__met_437967.png,0.5614,0.4166,0.4745,1.5845,1.4428
saliency_routed_spatial_alpha,3750__western_painting__met_439405.png,0.6095,0.3409,0.6565,1.4405,1.8738
saliency_routed_spatial_alpha,3750__western_painting__met_649693.png,0.3655,0.4707,0.4748,1.8674,1.6671
saliency_routed_spatial_alpha,3750__western_painting__met_739494.png,0.3795,0.3861,0.5619,1.397,1.6457
saliency_routed_spatial_alpha,3750__western_painting__met_787672.png,0.3232,0.5023,0.3992,2.0438,1.0769
saliency_routed_spatial_alpha,3750__western_painting__met_788182.png,0.341,0.4463,0.4698,1.6279,0.989
saliency_routed_spatial_alpha,3817__chinese_landscape__130942.png,0.7306,0.3799,0.6242,1.2274,0.9116
saliency_routed_spatial_alpha,3817__chinese_landscape__132834.png,0.6649,0.4317,0.5286,1.4243,0.8002
saliency_routed_spatial_alpha,3817__chinese_landscape__132836.png,0.6529,0.4434,0.5234,1.4757,0.8354
saliency_routed_spatial_alpha,3817__chinese_landscape__132840.png,0.7019,0.4016,0.6032,1.4138,0.7168
saliency_routed_spatial_alpha,3817__chinese_landscape__132930.png,0.7335,0.3993,0.5605,1.2705,0.6117
saliency_routed_spatial_alpha,3817__chinese_landscape__137205.png,0.5627,0.5075,0.4193,1.6865,1.1792
saliency_routed_spatial_alpha,3817__chinese_landscape__142574.png,0.7202,0.4171,0.5384,1.3118,0.6631
saliency_routed_spatial_alpha,3817__chinese_landscape__142578.png,0.6373,0.4594,0.4363,1.4007,0.9636
saliency_routed_spatial_alpha,3817__chinese_landscape__144829.png,0.6635,0.4387,0.4944,1.3231,0.8169
saliency_routed_spatial_alpha,3817__chinese_landscape__148342.png,0.6182,0.4669,0.404,1.3968,0.9097
saliency_routed_spatial_alpha,3817__mural__img_1082crop_1_0.png,0.4162,0.5306,0.3496,1.8207,3.0891
saliency_routed_spatial_alpha,3817__mural__img_1224crop_0_0.png,0.2651,0.6351,0.2193,2.2051,5.5865
saliency_routed_spatial_alpha,3817__mural__img_1224crop_1_1.png,0.2776,0.6385,0.2069,2.2731,6.7624
saliency_routed_spatial_alpha,3817__mural__img_16crop_0_0.png,0.4744,0.52,0.2997,1.6158,1.4565
saliency_routed_spatial_alpha,3817__mural__img_276crop_1_0.png,0.3599,0.6293,0.2391,1.974,1.2479
saliency_routed_spatial_alpha,3817__mural__img_326crop_1_1.png,0.5365,0.5072,0.3261,1.6982,1.377
saliency_routed_spatial_alpha,3817__mural__img_327crop_0_1.png,0.512,0.5238,0.3764,1.922,2.6201
saliency_routed_spatial_alpha,3817__mural__img_536crop_1_0.png,0.4924,0.5176,0.3844,1.8255,1.9364
saliency_routed_spatial_alpha,3817__mural__img_593crop_0_0.png,0.4533,0.5454,0.3569,1.8188,1.5316
saliency_routed_spatial_alpha,3817__mural__img_739crop_1_1.png,0.3553,0.5653,0.3656,1.8494,1.8565
saliency_routed_spatial_alpha,3817__western_painting__met_359775.png,0.656,0.4563,0.5133,1.4983,1.3132
saliency_routed_spatial_alpha,3817__western_painting__met_383787.png,0.7166,0.4272,0.6142,1.483,0.8241
saliency_routed_spatial_alpha,3817__western_painting__met_406721.png,0.6215,0.4546,0.4538,1.414,0.87
saliency_routed_spatial_alpha,3817__western_painting__met_437769.png,0.4087,0.4773,0.5502,1.3143,1.3692
saliency_routed_spatial_alpha,3817__western_painting__met_437967.png,0.5268,0.4903,0.4335,1.4254,1.3392
saliency_routed_spatial_alpha,3817__western_painting__met_439405.png,0.6255,0.4252,0.6124,1.3184,1.4681
saliency_routed_spatial_alpha,3817__western_painting__met_649693.png,0.6179,0.46,0.5038,1.7422,1.4308
saliency_routed_spatial_alpha,3817__western_painting__met_739494.png,0.6777,0.4214,0.57,1.4049,1.6026
saliency_routed_spatial_alpha,3817__western_painting__met_787672.png,0.5694,0.4905,0.4591,1.7044,1.1419
saliency_routed_spatial_alpha,3817__western_painting__met_788182.png,0.6484,0.4483,0.4996,1.4128,0.9785
saliency_routed_spatial_alpha,3878__chinese_landscape__130942.png,0.6106,0.3778,0.6471,1.3631,0.7882
saliency_routed_spatial_alpha,3878__chinese_landscape__132834.png,0.5534,0.4455,0.5823,1.5243,0.823
saliency_routed_spatial_alpha,3878__chinese_landscape__132836.png,0.5526,0.4636,0.5701,1.6009,0.8006
saliency_routed_spatial_alpha,3878__chinese_landscape__132840.png,0.5465,0.4297,0.6172,1.5227,0.7796
saliency_routed_spatial_alpha,3878__chinese_landscape__132930.png,0.5577,0.4458,0.6521,1.3894,0.5158
saliency_routed_spatial_alpha,3878__chinese_landscape__137205.png,0.5275,0.5269,0.4869,1.7636,1.2103
saliency_routed_spatial_alpha,3878__chinese_landscape__142574.png,0.5621,0.4671,0.631,1.4579,0.5874
saliency_routed_spatial_alpha,3878__chinese_landscape__142578.png,0.5602,0.4845,0.5322,1.6007,0.9036
saliency_routed_spatial_alpha,3878__chinese_landscape__144829.png,0.5563,0.4709,0.5562,1.5101,0.6919
saliency_routed_spatial_alpha,3878__chinese_landscape__148342.png,0.5502,0.4881,0.4789,1.6248,1.005
saliency_routed_spatial_alpha,3878__mural__img_1082crop_1_0.png,0.4559,0.5312,0.3722,1.9624,3.1259
saliency_routed_spatial_alpha,3878__mural__img_1224crop_0_0.png,0.3138,0.6118,0.248,2.2519,5.3931
saliency_routed_spatial_alpha,3878__mural__img_1224crop_1_1.png,0.2843,0.6284,0.2237,2.3086,6.56
saliency_routed_spatial_alpha,3878__mural__img_16crop_0_0.png,0.4726,0.5071,0.3446,1.7144,1.283
saliency_routed_spatial_alpha,3878__mural__img_276crop_1_0.png,0.3348,0.6624,0.2476,2.2329,1.2909
saliency_routed_spatial_alpha,3878__mural__img_326crop_1_1.png,0.5095,0.5344,0.3984,1.7525,1.1407
