method,n,fid_infinity,lpips_content,artfid_infinity,csd_similarity_mean,csd_ci95_low,csd_ci95_high
ccstytr,5000,6.053165489171632,0.4717414081096649,10.380435708663951,0.3011617579927668,0.2976156188369729,0.30471204490563597
aesfa,5000,8.806058613393686,0.596964955329895,15.65993195550058,0.3094917083373293,0.3061452690180484,0.3129375357217621
stytr2,5000,5.270533718899081,0.5192428827285767,9.526463723346982,0.2930412811757997,0.28947544576929884,0.2965087828244688
adain,5000,6.440015893805209,0.5952657461166382,11.868802505950814,0.3440982412973419,0.3403636933541857,0.3478286937314691
sanet,5000,6.612666778392459,0.6050847172737122,12.21897510369504,0.4313272770196199,0.42778763874413445,0.43493231558421624
cast,5000,3.7687711574997946,0.5163089036941528,7.23093016579681,0.42693815707936883,0.42364151353489604,0.4302982786583714
